Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,20,SEA,NBA,SF,82,8,1575,275,566,.486,40,120,.333,235,446,.527,.521,84,123,.683,127,209,336,70,62,36,78,163,674
2000-01,21,SEA,NBA,PF,78,78,2720,426,887,.480,123,285,.432,303,602,.503,.550,176,213,.826,143,398,541,125,91,45,129,191,1151
2001-02,22,SEA,NBA,SF,71,70,2585,455,972,.468,123,316,.389,332,656,.506,.531,162,200,.810,139,359,498,123,104,40,97,174,1195
2002-03,23,SEA,NBA,SF,77,77,3044,519,1149,.452,75,217,.346,444,932,.476,.484,283,345,.820,152,351,503,133,99,35,143,205,1396
2003-04,24,SEA,NBA,SF,80,80,2931,535,1229,.435,145,386,.376,390,843,.463,.494,206,270,.763,133,385,518,175,99,54,135,233,1421
2004-05,25,SEA,NBA,SF,71,71,2697,532,1151,.462,173,432,.400,359,719,.499,.537,220,283,.777,110,278,388,94,75,62,123,158,1457
2005-06,26,SEA,NBA,SF,78,77,2876,538,1151,.467,142,370,.384,396,781,.507,.529,350,428,.818,111,279,390,182,102,50,141,191,1568
2006-07,27,SEA,NBA,SF,60,60,2348,463,1005,.461,151,387,.390,312,618,.505,.536,265,315,.841,91,305,396,145,68,39,118,143,1342
2007-08,28,ORL,NBA,PF,81,81,3076,516,1135,.455,226,553,.409,290,582,.498,.554,218,260,.838,97,340,437,196,99,38,140,214,1476
2008-09,29,ORL,NBA,PF,79,79,2859,478,1089,.439,220,554,.397,258,535,.482,.540,225,269,.836,92,361,453,205,81,51,158,194,1401
2009-10,30,ORL,NBA,PF,72,72,2369,350,805,.435,168,423,.397,182,382,.476,.539,145,180,.806,62,256,318,107,78,28,108,180,1013
2010-11,31,TOT,NBA,SF-PF,57,52,1824,252,582,.433,87,244,.357,165,338,.488,.508,77,96,.802,71,219,290,92,52,30,87,159,668
2012-13,33,MIA,NBA,PF,55,9,792,103,249,.414,51,131,.389,52,118,.441,.516,28,45,.622,19,102,121,30,21,14,33,67,285
2013-14,34,MIA,NBA,SF,60,6,971,98,236,.415,46,134,.343,52,102,.510,.513,26,33,.788,24,86,110,57,53,8,35,90,268
