Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990-91,22,GSW,NBA,PF,74,22,1192,147,299,.492,0,0,0,147,299,.492,.492,96,152,.632,157,226,383,19,33,30,72,264,390
1991-92,23,GSW,NBA,C,82,75,1886,254,487,.522,0,1,.000,254,486,.523,.522,163,235,.694,182,411,593,47,73,43,106,315,671
1992-93,24,GSW,NBA,C,74,66,2070,251,494,.508,0,4,.000,251,490,.512,.508,138,221,.624,255,499,754,68,41,40,92,320,640
1993-94,25,CLE,NBA,PF,57,20,1447,216,398,.543,0,2,.000,216,396,.545,.543,171,256,.668,184,315,499,46,53,35,78,193,603
1994-95,26,CLE,NBA,C,70,67,2397,350,694,.504,0,1,.000,350,693,.505,.504,263,397,.662,269,496,765,55,55,41,151,245,963
1995-96,27,CLE,NBA,PF,44,2,929,130,254,.512,0,0,0,130,254,.512,.512,81,135,.600,94,150,244,33,31,20,64,144,341
1996-97,28,CLE,NBA,C,74,70,2582,357,595,.600,0,1,.000,357,594,.601,.600,241,381,.633,259,477,736,92,63,30,147,268,955
1997-98,29,MIL,NBA,PF,57,56,2064,208,418,.498,0,1,.000,208,417,.499,.498,155,255,.608,212,396,608,88,67,30,106,230,571
1999-00,31,PHI,NBA,PF,68,65,2155,318,656,.485,0,1,.000,318,655,.485,.485,179,259,.691,220,405,625,52,64,27,124,243,815
2000-01,32,PHI,NBA,PF,76,75,2363,278,587,.474,0,1,.000,278,586,.474,.474,172,273,.630,239,448,687,48,37,27,127,242,728
2002-03,34,TOT,NBA,PF,56,43,1351,129,306,.422,0,0,0,129,306,.422,.422,54,80,.675,126,265,391,41,46,26,68,172,312
