Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,22,ORL,NBA,PG,79,21,1612,286,628,.455,44,141,.312,242,487,.497,.490,73,107,.682,52,141,193,237,78,3,117,199,689
2005-06,23,ORL,NBA,PG,62,33,1784,347,719,.483,70,165,.424,277,554,.500,.531,141,181,.779,39,141,180,302,70,9,148,174,905
2006-07,24,ORL,NBA,PG,77,77,2331,376,875,.430,65,194,.335,311,681,.457,.467,183,221,.828,50,186,236,330,73,5,184,225,1000
2007-08,25,ORL,NBA,PG,69,62,1961,283,603,.469,64,154,.416,219,449,.488,.522,125,151,.828,28,215,243,383,63,4,141,167,755
2008-09,26,ORL,NBA,PG,42,42,1309,267,531,.503,82,181,.453,185,350,.529,.580,86,97,.887,20,125,145,226,51,3,83,123,702
2009-10,27,ORL,NBA,PG,65,64,1860,317,706,.449,86,226,.381,231,480,.481,.510,98,116,.845,26,168,194,353,48,2,139,147,818
2010-11,28,ORL,NBA,PG,76,76,2319,374,838,.446,119,297,.401,255,541,.471,.517,130,162,.802,37,189,226,456,75,3,194,209,997
2012-13,30,ORL,NBA,PG,56,56,1977,306,780,.392,121,355,.341,185,425,.435,.470,89,102,.873,23,186,209,413,71,6,154,161,822
2013-14,31,ORL,NBA,PG,68,68,2179,294,747,.394,136,391,.348,158,356,.444,.485,96,112,.857,29,202,231,476,52,5,166,146,820
2014-15,32,TOT,NBA,PG,63,29,1407,205,504,.407,89,258,.345,116,246,.472,.495,24,36,.667,33,113,146,253,47,6,109,136,523
