Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1982-83,22,TOT,NBA,PG,76,17,1248,226,527,.429,10,25,.400,216,502,.430,.438,150,180,.833,56,81,137,138,58,17,106,134,612
1983-84,23,GSW,NBA,PG,77,73,2555,484,1045,.463,8,45,.178,476,1000,.476,.467,315,386,.816,87,184,271,269,103,31,196,216,1291
1984-85,24,GSW,NBA,SG,82,82,2873,610,1372,.445,42,143,.294,568,1229,.462,.460,336,415,.810,62,140,202,406,134,41,251,226,1598
1985-86,25,GSW,NBA,PG,82,82,2764,510,1007,.506,39,119,.328,471,888,.530,.526,351,441,.796,76,221,297,746,157,16,290,199,1410
1986-87,26,GSW,NBA,PG,82,82,3064,503,1030,.488,73,190,.384,430,840,.512,.524,462,537,.860,56,212,268,848,146,18,280,199,1541
1987-88,27,TOT,NBA,PG,77,73,2514,420,969,.433,14,72,.194,406,897,.453,.441,301,354,.850,77,219,296,544,95,12,223,190,1155
1988-89,28,HOU,NBA,PG,82,82,2788,396,893,.443,109,292,.373,287,601,.478,.504,261,309,.845,48,258,306,709,124,11,253,196,1162
1989-90,29,HOU,NBA,PG,82,73,2630,362,803,.451,89,234,.380,273,569,.480,.506,187,232,.806,46,152,198,600,94,11,204,159,1000
1990-91,30,HOU,NBA,PG,82,4,1850,386,939,.411,48,176,.273,338,763,.443,.437,185,246,.752,52,107,159,317,95,17,140,122,1005
1991-92,31,HOU,NBA,PG,82,3,1662,286,704,.406,37,123,.301,249,581,.429,.433,135,170,.794,34,116,150,239,57,21,128,128,744
1992-93,32,HOU,NBA,PG,52,10,867,124,305,.407,16,56,.286,108,249,.434,.433,81,102,.794,14,72,86,132,32,6,68,59,345
1993-94,33,SAS,NBA,PG,53,2,737,70,209,.335,8,36,.222,62,173,.358,.354,52,78,.667,10,60,70,101,12,8,61,71,200
1994-95,34,NJN,NBA,SG,48,1,831,71,212,.335,25,88,.284,46,124,.371,.394,30,43,.698,8,46,54,126,13,6,51,73,197
