Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997-98,18,TOR,NBA,SF,64,17,1179,179,398,.450,14,41,.341,165,357,.462,.467,79,111,.712,105,164,269,98,49,61,66,86,451
1999-00,20,TOR,NBA,SF,79,34,2462,459,1018,.451,18,65,.277,441,953,.463,.460,277,392,.707,188,313,501,263,90,151,160,201,1213
2000-01,21,ORL,NBA,SG,77,77,3087,788,1724,.457,59,166,.355,729,1558,.468,.474,430,587,.733,192,388,580,352,116,118,198,160,2065
2001-02,22,ORL,NBA,SG,76,76,2912,715,1586,.451,103,283,.364,612,1303,.470,.483,415,555,.748,150,447,597,400,119,73,189,139,1948
2002-03,23,ORL,NBA,SG,75,74,2954,829,1813,.457,173,448,.386,656,1365,.481,.505,576,726,.793,121,367,488,411,124,59,195,156,2407
2003-04,24,ORL,NBA,SG,67,67,2675,653,1566,.417,174,513,.339,479,1053,.455,.473,398,500,.796,95,307,402,370,93,42,179,129,1878
2004-05,25,HOU,NBA,SF,78,78,3182,715,1660,.431,142,435,.326,573,1225,.468,.473,431,557,.774,71,413,484,448,135,52,201,167,2003
2005-06,26,HOU,NBA,SF,47,47,1745,410,1011,.406,73,234,.312,337,777,.434,.442,254,340,.747,46,261,307,225,59,41,120,88,1147
2006-07,27,HOU,NBA,SG,71,71,2539,638,1480,.431,126,381,.331,512,1099,.466,.474,345,488,.707,56,322,378,458,92,36,213,136,1747
2007-08,28,HOU,NBA,SG,66,62,2440,548,1307,.419,86,295,.292,462,1012,.457,.452,245,358,.684,42,297,339,387,68,30,160,91,1427
2010-11,31,DET,NBA,SG,72,39,1686,227,514,.442,30,88,.341,197,426,.462,.471,90,129,.698,49,202,251,252,66,34,102,101,574
