Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989-90,21,LAL,NBA,C,82,5,1611,274,549,.499,0,5,.000,274,544,.504,.499,153,216,.708,167,345,512,75,79,114,110,240,701
1990-91,22,LAL,NBA,C,82,81,2310,360,637,.565,5,14,.357,355,623,.570,.569,196,279,.703,205,461,666,92,106,127,146,247,921
1992-93,24,LAL,NBA,C,82,69,2525,397,819,.485,21,75,.280,376,744,.505,.498,235,341,.689,220,509,729,232,128,140,214,311,1050
1993-94,25,LAL,NBA,C,79,73,2685,453,895,.506,9,47,.191,444,848,.524,.511,208,303,.686,282,569,851,307,92,112,191,288,1123
1994-95,26,LAL,NBA,C,80,80,2807,485,957,.507,10,53,.189,475,904,.525,.512,297,382,.777,261,568,829,329,109,174,205,305,1277
1995-96,27,LAL,NBA,C,79,79,2470,414,807,.513,3,18,.167,411,789,.521,.515,189,295,.641,198,481,679,261,76,131,199,274,1020
1996-97,28,CHH,NBA,C,81,80,2840,418,847,.494,11,47,.234,407,800,.509,.500,177,259,.683,241,484,725,301,103,180,193,277,1024
1997-98,29,CHH,NBA,C,64,41,1805,267,536,.498,3,14,.214,264,522,.506,.501,130,188,.691,183,335,518,172,83,94,114,179,667
1999-00,31,SAC,NBA,C,82,81,2374,384,764,.503,7,26,.269,377,738,.511,.507,230,333,.691,174,482,656,244,103,103,190,251,1005
2000-01,32,SAC,NBA,C,81,81,2420,364,755,.482,4,14,.286,360,741,.486,.485,242,350,.691,207,466,673,231,87,93,192,242,974
2001-02,33,SAC,NBA,C,80,80,2420,338,716,.472,3,13,.231,335,703,.477,.474,209,340,.615,205,466,671,297,79,94,158,229,888
2002-03,34,SAC,NBA,C,80,80,2384,305,655,.466,6,25,.240,299,630,.475,.470,179,251,.713,157,417,574,274,83,105,152,239,795
2003-04,35,SAC,NBA,C,81,81,2317,314,668,.470,2,13,.154,312,655,.476,.472,170,260,.654,136,327,463,432,57,77,173,222,800
