Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985-86,22,LAL,NBA,PF,82,1,1542,209,388,.539,1,6,.167,208,382,.545,.540,102,167,.611,160,221,381,54,49,49,99,229,521
1986-87,23,LAL,NBA,PF,79,72,2240,316,587,.538,0,5,.000,316,582,.543,.538,220,282,.780,210,405,615,84,70,80,102,171,852
1987-88,24,LAL,NBA,PF,82,64,2636,322,640,.503,0,2,.000,322,638,.505,.503,293,379,.773,245,465,710,93,87,45,120,204,937
1988-89,25,LAL,NBA,PF,82,82,2510,401,758,.529,4,17,.235,397,741,.536,.532,282,359,.786,258,481,739,103,94,55,119,172,1088
1989-90,26,LAL,NBA,PF,82,82,2709,385,806,.478,13,46,.283,372,760,.489,.486,278,370,.751,262,450,712,90,66,50,116,207,1061
1990-91,27,LAL,NBA,PF,82,21,2164,258,542,.476,11,55,.200,247,487,.507,.486,223,302,.738,201,315,516,71,59,23,99,117,750
1991-92,28,LAL,NBA,PF,82,53,2902,382,803,.476,12,56,.214,370,747,.495,.483,340,457,.744,306,456,762,117,91,36,111,141,1116
1992-93,29,LAL,NBA,PF,82,55,2819,379,706,.537,16,46,.348,363,660,.550,.548,277,375,.739,287,424,711,116,88,39,116,149,1051
1993-94,30,PHO,NBA,PF,82,55,2825,465,926,.502,8,35,.229,457,891,.513,.506,266,362,.735,275,478,753,137,70,38,100,142,1204
1994-95,31,PHO,NBA,SF,82,52,2687,311,617,.504,43,127,.339,268,490,.547,.539,251,343,.732,194,475,669,127,55,31,114,146,916
1995-96,32,PHO,NBA,SF,82,36,2113,215,444,.484,14,52,.269,201,392,.513,.500,168,237,.709,166,388,554,72,45,23,79,141,612
1996-97,33,TOT,NBA,PF,83,73,2492,234,484,.483,1,20,.050,233,464,.502,.485,128,197,.650,222,434,656,69,70,16,74,145,597
1996-97,33,PHO,NBA,PF,27,19,548,61,128,.477,0,3,.000,61,125,.488,.477,31,48,.646,33,105,138,17,18,1,20,34,153
1996-97,33,DAL,NBA,PF,56,54,1944,173,356,.486,1,17,.059,172,339,.507,.487,97,149,.651,189,329,518,52,52,15,54,111,444
1997-98,34,DAL,NBA,PF,82,68,2649,242,534,.453,0,4,.000,242,530,.457,.453,116,162,.716,219,449,668,123,78,27,68,157,600
1998-99,35,DAL,NBA,PF,50,35,924,108,256,.422,0,8,.000,108,248,.435,.422,30,52,.577,82,146,228,25,28,8,19,69,246
1999-00,36,LAL,NBA,PF,82,82,1929,173,387,.447,1,4,.250,172,383,.449,.448,66,95,.695,160,326,486,80,53,18,53,127,413
2000-01,37,MIA,NBA,PF,82,1,1411,144,324,.444,0,6,.000,144,318,.453,.444,79,111,.712,107,206,313,39,30,8,45,119,367
