Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,18,IND,NBA,PF,21,0,160,18,56,.321,0,5,.000,18,51,.353,.321,9,15,.600,20,19,39,5,4,2,11,26,45
1999-00,19,IND,NBA,PF,50,0,854,121,264,.458,8,34,.235,113,230,.491,.473,78,111,.703,47,112,159,38,25,9,65,130,328
2000-01,20,IND,NBA,PF,78,38,1892,241,543,.444,1,7,.143,240,536,.448,.445,103,157,.656,119,262,381,130,63,18,148,223,586
2001-02,21,IND,NBA,PF,44,1,1313,230,484,.475,1,3,.333,229,481,.476,.476,115,144,.799,96,180,276,54,41,21,78,166,576
2002-03,22,IND,NBA,SF,82,37,2467,389,896,.434,13,46,.283,376,850,.442,.441,211,274,.770,159,352,511,125,71,33,163,280,1002
2003-04,23,IND,NBA,PF,79,15,2441,421,909,.463,21,77,.273,400,832,.481,.475,185,252,.734,163,345,508,131,80,22,163,250,1048
2004-05,24,ATL,NBA,SF,66,66,2550,453,986,.459,16,74,.216,437,912,.479,.468,236,351,.672,145,316,461,208,85,16,204,249,1158
2005-06,25,ATL,NBA,PF,76,76,2782,551,1220,.452,66,191,.346,485,1029,.471,.479,243,350,.694,132,391,523,238,85,14,195,301,1411
2006-07,26,TOT,NBA,PF,78,78,2563,495,1083,.457,127,293,.433,368,790,.466,.516,168,242,.694,151,345,496,149,65,24,169,269,1285
2006-07,26,IND,NBA,PF,36,36,1208,223,487,.458,54,118,.458,169,369,.458,.513,72,101,.713,71,155,226,51,25,10,91,116,572
2006-07,26,GSW,NBA,PF,42,42,1355,272,596,.456,73,175,.417,199,421,.473,.518,96,141,.681,80,190,270,98,40,14,78,153,713
2007-08,27,GSW,NBA,C,81,59,2190,401,923,.434,153,408,.375,248,515,.482,.517,147,190,.774,107,332,439,132,74,16,90,266,1102
2008-09,28,TOT,NBA,PF,73,56,2546,532,1212,.439,171,470,.364,361,742,.487,.509,234,295,.793,99,356,455,102,88,22,161,227,1469
2008-09,28,GSW,NBA,PF,5,5,166,23,70,.329,11,28,.393,12,42,.286,.407,5,10,.500,10,18,28,10,7,0,7,14,62
2008-09,28,NYK,NBA,PF,68,51,2380,509,1142,.446,160,442,.362,349,700,.499,.516,229,285,.804,89,338,427,92,81,22,154,213,1407
2009-10,29,NYK,NBA,PF,72,15,2195,448,1030,.435,140,409,.342,308,621,.496,.503,240,317,.757,88,317,405,110,62,26,132,209,1276
2010-11,30,DEN,NBA,PF,73,3,1665,281,675,.416,117,328,.357,164,347,.473,.503,86,117,.735,76,256,332,101,39,10,106,202,765
2011-12,31,DEN,NBA,PF,64,1,1761,345,773,.446,101,303,.333,244,470,.519,.512,119,176,.676,72,318,390,88,58,12,112,181,910
2012-13,32,ORL,NBA,C,10,0,119,20,57,.351,8,30,.267,12,27,.444,.421,3,4,.750,6,21,27,10,4,1,7,18,51
2013-14,33,WAS,NBA,PF,34,0,511,82,207,.396,34,100,.340,48,107,.449,.478,27,35,.771,15,65,80,28,14,0,34,72,225
