Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,22,NYA,ABA,SG,51,0,773,130,266,.489,1,3,.333,129,263,.490,.491,72,94,.766,42,78,120,121,29,13,68,111,333
1975-76,23,NYA,ABA,SG,83,0,2082,330,702,.470,2,8,.250,328,694,.473,.472,203,241,.842,96,211,307,280,91,50,169,252,865
1976-77,24,NYN,NBA,SG,79,0,2256,382,887,.431,0,0,0,382,887,.431,.431,231,292,.791,112,251,363,289,103,53,0,279,995
1977-78,25,TOT,NBA,SG,77,0,1551,222,488,.455,0,0,0,222,488,.455,.455,162,203,.798,67,157,224,146,65,20,161,242,606
1977-78,25,NJN,NBA,SG,8,0,277,41,101,.406,0,0,0,41,101,.406,.406,39,44,.886,14,38,52,33,13,5,29,34,121
1977-78,25,DET,NBA,SG,69,0,1274,181,387,.468,0,0,0,181,387,.468,.468,123,159,.774,53,119,172,113,52,15,132,208,485
1978-79,26,TOT,NBA,SG,45,0,643,91,214,.425,0,0,0,91,214,.425,.425,99,114,.868,27,59,86,89,40,3,72,114,281
1978-79,26,NJN,NBA,SG,23,0,334,55,125,.440,0,0,0,55,125,.440,.440,72,82,.878,12,30,42,49,22,2,38,53,182
1978-79,26,PHI,NBA,SG,22,0,309,36,89,.404,0,0,0,36,89,.404,.404,27,32,.844,15,29,44,40,18,1,34,61,99
1979-80,27,PHI,NBA,SG,2,0,10,1,2,.500,0,0,0,1,2,.500,.500,0,0,0,0,0,0,2,0,0,2,1,2
