Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,23,CLE,NBA,PG,82,36,2093,339,755,.449,10,49,.204,329,706,.466,.456,226,292,.774,85,195,280,476,84,17,166,194,914
2000-01,24,CLE,NBA,PG,82,82,2848,452,999,.452,17,64,.266,435,935,.465,.461,375,450,.833,94,266,360,657,119,28,265,229,1296
2001-02,25,CLE,NBA,PG,81,81,3023,474,1045,.454,22,87,.253,452,958,.472,.464,365,447,.817,108,271,379,882,126,34,245,228,1335
2002-03,26,LAC,NBA,PG,80,80,2913,377,928,.406,23,108,.213,354,820,.432,.419,311,391,.795,84,232,316,537,99,11,206,203,1088
2003-04,27,DEN,NBA,PG,82,82,2838,430,941,.457,12,65,.185,418,876,.477,.463,342,411,.832,127,239,366,501,142,25,215,194,1214
2004-05,28,DEN,NBA,PG,82,82,2852,427,895,.477,6,39,.154,421,856,.492,.480,253,302,.838,100,238,338,569,121,8,220,204,1113
2005-06,29,DEN,NBA,PG,82,82,2937,404,872,.463,5,27,.185,399,845,.472,.466,313,424,.738,92,259,351,674,106,18,256,213,1126
2006-07,30,TOT,NBA,PG,80,79,2966,424,909,.466,5,35,.143,419,874,.479,.469,222,283,.784,97,255,352,625,110,10,222,184,1075
2006-07,30,DEN,NBA,PG,23,23,822,117,248,.472,4,16,.250,113,232,.487,.480,62,85,.729,25,79,104,209,37,4,70,58,300
2006-07,30,PHI,NBA,PG,57,56,2144,307,661,.464,1,19,.053,306,642,.477,.465,160,198,.808,72,176,248,416,73,6,152,126,775
2007-08,31,PHI,NBA,PG,82,82,3016,569,1156,.492,3,34,.088,566,1122,.504,.494,257,333,.772,95,229,324,565,105,6,206,181,1398
2008-09,32,PHI,NBA,PG,82,82,2976,492,1041,.473,15,53,.283,477,988,.483,.480,338,409,.826,123,245,368,534,109,14,199,196,1337
2009-10,33,POR,NBA,PG,82,66,2500,404,908,.445,16,80,.200,388,828,.469,.454,322,392,.821,81,185,266,445,93,9,173,169,1146
2010-11,34,POR,NBA,PG,81,81,2650,388,844,.460,4,37,.108,384,807,.476,.462,249,292,.853,97,205,302,566,114,12,197,171,1029
2011-12,35,DEN,NBA,SG,66,7,1809,242,552,.438,18,83,.217,224,469,.478,.455,137,169,.811,53,168,221,441,63,9,177,133,639
2012-13,36,DEN,NBA,PG,82,11,2151,303,632,.479,17,64,.266,286,568,.504,.493,163,194,.840,60,178,238,484,73,11,172,159,786
2013-14,37,TOT,NBA,SG,58,2,982,106,231,.459,11,21,.524,95,210,.452,.483,60,77,.779,28,102,130,197,34,9,61,75,283
2013-14,37,DEN,NBA,SG,30,2,570,66,144,.458,9,18,.500,57,126,.452,.490,35,47,.745,16,57,73,100,15,7,33,32,176
2013-14,37,WAS,NBA,SG,28,0,412,40,87,.460,2,3,.667,38,84,.452,.471,25,30,.833,12,45,57,97,19,2,28,43,107
2014-15,38,TOT,NBA,PG,81,0,1253,145,290,.500,7,34,.206,138,256,.539,.512,58,77,.753,37,116,153,284,32,6,104,103,355
2014-15,38,WAS,NBA,PG,51,0,631,77,142,.542,1,8,.125,76,134,.567,.546,28,39,.718,21,56,77,143,14,2,46,56,183
2014-15,38,SAC,NBA,PG,30,0,622,68,148,.459,6,26,.231,62,122,.508,.480,30,38,.789,16,60,76,141,18,4,58,47,172
