Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,21,DEN,NBA,PF,76,75,2280,427,881,.485,0,4,.000,427,877,.487,.485,166,243,.683,229,343,572,75,54,114,154,250,1020
1996-97,22,DEN,NBA,PF,74,73,2565,536,1157,.463,6,35,.171,530,1122,.472,.466,274,387,.708,155,382,537,106,62,126,199,276,1352
1997-98,23,PHO,NBA,PF,81,81,2441,497,927,.536,0,2,.000,497,925,.537,.536,231,329,.702,206,407,613,106,100,135,142,292,1225
1998-99,24,DEN,NBA,C,50,50,1937,415,882,.471,1,9,.111,414,873,.474,.471,230,338,.680,168,369,537,82,73,115,138,175,1061
1999-00,25,DEN,NBA,PF,81,81,2698,614,1211,.507,0,2,.000,614,1209,.508,.507,323,516,.626,234,451,685,159,69,139,230,316,1551
2000-01,26,DEN,NBA,PF,70,70,2555,577,1165,.495,0,0,0,577,1165,.495,.495,304,434,.700,240,605,845,146,43,102,162,220,1458
2001-02,27,DEN,NBA,PF,10,10,236,43,75,.573,0,0,0,43,75,.573,.573,27,33,.818,18,37,55,18,10,8,20,20,113
2002-03,28,Did Not Play(injuryknee)
2003-04,29,TOT,NBA,PF,42,20,927,126,268,.470,0,0,0,126,268,.470,.470,38,69,.551,70,187,257,36,37,24,57,117,290
2003-04,29,NYK,NBA,PF,18,6,421,65,142,.458,0,0,0,65,142,.458,.458,22,38,.579,31,88,119,20,12,11,27,46,152
2003-04,29,PHO,NBA,PF,24,14,506,61,126,.484,0,0,0,61,126,.484,.484,16,31,.516,39,99,138,16,25,13,30,71,138
2004-05,30,DET,NBA,PF,77,8,1797,307,598,.513,0,1,.000,307,597,.514,.513,126,192,.656,177,305,482,71,46,52,93,204,740
2005-06,31,DET,NBA,PF,82,0,1733,285,560,.509,0,2,.000,285,558,.511,.509,68,122,.557,156,280,436,90,46,48,76,220,638
2006-07,32,DET,NBA,PF,82,3,1729,284,540,.526,0,0,0,284,540,.526,.526,96,139,.691,165,331,496,72,61,65,75,240,664
2007-08,33,DET,NBA,PF,78,78,2285,293,600,.488,0,2,.000,293,598,.490,.488,97,156,.622,204,462,666,89,61,53,75,246,683
2008-09,34,DET,NBA,PF,62,30,1866,268,525,.510,0,0,0,268,525,.510,.510,60,86,.698,185,422,607,83,41,50,51,191,596
2009-10,35,SAS,NBA,PF,77,50,1617,205,428,.479,0,2,.000,205,426,.481,.479,36,57,.632,149,306,455,83,43,32,79,147,446
2010-11,36,SAS,NBA,PF,73,16,1387,169,344,.491,0,1,.000,169,343,.493,.491,52,77,.675,122,273,395,84,36,39,72,163,390
