Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987-88,23,PHO,NBA,PF,55,53,1807,342,720,.475,0,0,0,342,720,.475,.475,131,193,.679,134,300,434,72,58,29,123,143,815
1988-89,24,PHO,NBA,PF,74,60,2120,468,930,.503,0,0,0,468,930,.503,.503,240,323,.743,165,376,541,52,54,27,140,176,1176
1989-90,25,TOT,NBA,PF,76,66,2426,484,940,.515,0,2,.000,484,938,.516,.515,303,419,.723,211,388,599,99,69,51,183,212,1271
1989-90,25,PHO,NBA,PF,16,7,267,52,121,.430,0,0,0,52,121,.430,.430,39,56,.696,26,44,70,8,6,5,17,28,143
1989-90,25,CHH,NBA,PF,60,59,2159,432,819,.527,0,2,.000,432,817,.529,.527,264,363,.727,185,344,529,91,63,46,166,184,1128
1990-91,26,TOT,NBA,PF,75,75,2644,487,1001,.487,0,2,.000,487,999,.487,.487,268,329,.815,220,378,598,105,69,53,174,185,1242
1990-91,26,CHH,NBA,PF,25,25,949,195,380,.513,0,0,0,195,380,.513,.513,104,128,.813,86,148,234,27,34,21,64,65,494
1990-91,26,PHI,NBA,PF,50,50,1695,292,621,.470,0,2,.000,292,619,.472,.470,164,201,.816,134,230,364,78,35,32,110,120,748
1991-92,27,PHI,NBA,PF,81,81,2771,512,1001,.511,0,2,.000,512,999,.513,.511,343,425,.807,234,426,660,118,51,85,166,176,1367
1992-93,28,PHI,NBA,PF,80,26,1742,359,774,.464,0,1,.000,359,773,.464,.464,274,325,.843,136,336,472,116,37,54,157,123,992
1993-94,29,NJN,NBA,PF,82,5,1969,348,682,.510,0,1,.000,348,681,.511,.510,274,361,.759,197,303,500,69,38,61,106,129,970
1994-95,30,NJN,NBA,PF,82,30,2472,455,905,.503,0,2,.000,455,903,.504,.503,302,392,.770,192,421,613,99,67,89,152,171,1212
1995-96,31,NJN,NBA,SF,78,76,2856,576,1216,.474,0,1,.000,576,1215,.474,.474,277,350,.791,241,472,713,140,73,53,177,180,1429
1996-97,32,MIL,NBA,PF,80,25,2050,246,522,.471,0,0,0,246,522,.471,.471,199,259,.768,136,361,497,53,61,40,105,206,691
1997-98,33,MIL,NBA,PF,82,25,2114,327,676,.484,0,4,.000,327,672,.487,.484,267,333,.802,146,293,439,104,65,37,148,177,921
1998-99,34,MIL,NBA,PF,34,5,668,101,223,.453,0,1,.000,101,222,.455,.453,79,101,.782,33,93,126,19,22,12,36,48,281
1999-00,35,UTA,NBA,PF,50,0,782,133,305,.436,0,1,.000,133,304,.438,.436,67,86,.779,72,137,209,42,12,16,55,83,333
