Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1948-49,24,ROC,BAA,C,60,0,0,345,816,.423,0,0,0,345,816,.423,.423,305,462,.660,0,0,0,100,0,0,0,216,995
1949-50,25,ROC,NBA,C,62,0,0,206,598,.344,0,0,0,206,598,.344,.344,213,321,.664,0,0,0,92,0,0,0,228,625
1950-51,26,ROC,NBA,C,66,0,0,377,940,.401,0,0,0,377,940,.401,.401,323,440,.734,0,0,795,158,0,0,0,278,1077
1951-52,27,ROC,NBA,C,66,0,2396,365,926,.394,0,0,0,365,926,.394,.394,302,431,.701,0,0,841,150,0,0,0,258,1032
1952-53,28,ROC,NBA,C,68,0,2288,295,802,.368,0,0,0,295,802,.368,.368,294,429,.685,0,0,745,135,0,0,0,274,884
1953-54,29,ROC,NBA,C,72,0,2385,321,872,.368,0,0,0,321,872,.368,.368,307,430,.714,0,0,728,120,0,0,0,284,949
1954-55,30,ROC,NBA,C,69,0,1970,259,699,.371,0,0,0,259,699,.371,.371,279,375,.744,0,0,703,112,0,0,0,253,797
1955-56,31,BOS,NBA,C,68,0,1597,189,493,.383,0,0,0,189,493,.383,.383,170,240,.708,0,0,553,88,0,0,0,300,548
1956-57,32,BOS,NBA,C,43,0,935,119,307,.388,0,0,0,119,307,.388,.388,106,156,.679,0,0,286,53,0,0,0,163,344
1957-58,33,BOS,NBA,C,63,0,1119,134,397,.338,0,0,0,134,397,.338,.338,114,167,.683,0,0,360,50,0,0,0,195,382
