Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1963-64,22,NYK,NBA,SG,75,0,2236,432,1003,.431,0,0,0,432,1003,.431,.431,289,422,.685,0,0,298,256,0,0,0,229,1153
1964-65,23,NYK,NBA,SG,55,0,663,114,267,.427,0,0,0,114,267,.427,.427,88,132,.667,0,0,99,79,0,0,0,96,316
1965-66,24,TOT,NBA,0,17,0,120,18,52,.346,0,0,0,18,52,.346,.346,14,22,.636,0,0,17,11,0,0,0,23,50
1965-66,24,CIN,NBA,0,11,0,100,15,43,.349,0,0,0,15,43,.349,.349,10,17,.588,0,0,13,7,0,0,0,19,40
1965-66,24,PHI,NBA,0,6,0,20,3,9,.333,0,0,0,3,9,.333,.333,4,5,.800,0,0,4,4,0,0,0,4,10
1966-67,25,Did Not Play
1967-68,26,TOT,ABA,SF-SG,73,0,2555,457,1058,.432,35,134,.261,422,924,.457,.448,400,547,.731,0,0,496,276,0,0,239,188,1349
1967-68,26,NJA,ABA,SG,19,0,439,97,252,.385,3,17,.176,94,235,.400,.391,65,101,.644,0,0,70,37,0,0,54,35,262
1967-68,26,PTP,ABA,SF,54,0,2116,360,806,.447,32,117,.274,328,689,.476,.467,335,446,.751,0,0,426,239,0,0,185,153,1087
1968-69,27,MNP,ABA,SF,71,0,2362,350,832,.421,37,118,.314,313,714,.438,.443,285,409,.697,223,271,494,217,0,0,163,195,1022
1969-70,28,TOT,ABA,SG,19,0,310,47,106,.443,0,4,.000,47,102,.461,.443,46,65,.708,33,24,57,25,0,0,39,32,140
1969-70,28,PTP,ABA,0,1,0,4,0,1,.000,0,0,0,0,1,.000,.000,0,0,0,0,0,0,0,0,0,1,1,0
1969-70,28,MMF,ABA,SG,18,0,306,47,105,.448,0,4,.000,47,101,.465,.448,46,65,.708,33,24,57,25,0,0,38,31,140
