Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,23,CLE,NBA,SG,43,0,1539,381,894,.426,0,0,0,381,894,.426,.426,149,196,.760,0,0,150,148,0,0,0,99,911
1972-73,24,CLE,NBA,SG,82,0,3097,702,1575,.446,0,0,0,702,1575,.446,.446,281,342,.822,0,0,369,279,0,0,0,185,1685
1973-74,25,CLE,NBA,SG,81,0,3100,748,1682,.445,0,0,0,748,1682,.445,.445,279,326,.856,139,150,289,305,92,14,0,189,1775
1974-75,26,CLE,NBA,SG,41,0,1081,252,538,.468,0,0,0,252,538,.468,.468,89,106,.840,51,56,107,154,48,2,0,57,593
1975-76,27,CLE,NBA,SG,65,0,1282,276,625,.442,0,0,0,276,625,.442,.442,106,134,.791,67,65,132,122,37,2,0,92,658
1976-77,28,CLE,NBA,SG,82,0,2409,558,1221,.457,0,0,0,558,1221,.457,.457,213,268,.795,120,120,240,220,57,10,0,221,1329
1977-78,29,CLE,NBA,SG,82,0,2186,414,945,.438,0,0,0,414,945,.438,.438,183,225,.813,76,111,187,225,68,19,146,168,1011
1978-79,30,CLE,NBA,SG,82,0,2714,551,1161,.475,0,0,0,551,1161,.475,.475,292,358,.816,155,135,290,217,77,14,175,210,1394
1979-80,31,CLE,NBA,SG,77,0,1595,390,839,.465,2,6,.333,388,833,.466,.466,127,172,.738,81,84,165,150,39,3,108,120,909
1980-81,32,TOT,NBA,SG,47,0,657,87,234,.372,0,7,.000,87,227,.383,.372,34,54,.630,22,39,61,58,15,2,41,53,208
1980-81,32,DAL,NBA,SG,8,0,77,7,28,.250,0,0,0,7,28,.250,.250,2,4,.500,4,5,9,9,1,0,9,10,16
1980-81,32,WSB,NBA,SG,39,0,580,80,206,.388,0,7,.000,80,199,.402,.388,32,50,.640,18,34,52,49,14,2,32,43,192
