Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997-98,22,IND,NBA,PF,26,0,243,32,86,.372,4,13,.308,28,73,.384,.395,8,14,.571,10,35,45,8,9,5,13,32,76
1998-99,23,IND,NBA,PF,27,0,249,32,75,.427,8,29,.276,24,46,.522,.480,20,23,.870,16,29,45,10,7,8,23,32,92
1999-00,24,IND,NBA,PF,81,14,1885,288,653,.441,63,174,.362,225,479,.470,.489,196,231,.848,135,381,516,89,44,60,121,203,835
2000-01,25,IND,NBA,PF,81,23,1874,276,701,.394,70,207,.338,206,494,.417,.444,200,231,.866,123,264,387,92,36,50,136,180,822
2001-02,26,IND,NBA,PF,76,1,1286,185,448,.413,49,145,.338,136,303,.449,.468,97,114,.851,74,220,294,77,26,29,67,106,516
2002-03,27,IND,NBA,PF,49,0,633,86,209,.411,27,69,.391,59,140,.421,.476,53,65,.815,40,115,155,56,6,13,28,48,252
2003-04,28,IND,NBA,PF,77,0,1051,119,307,.388,56,144,.389,63,163,.387,.479,93,104,.894,60,183,243,52,24,14,55,101,387
2004-05,29,IND,NBA,PF,73,22,1827,188,497,.378,45,174,.259,143,323,.443,.424,226,256,.883,103,272,375,98,48,17,104,154,647
2005-06,30,IND,NBA,PF,50,26,1148,132,285,.463,54,140,.386,78,145,.538,.558,90,102,.882,62,203,265,62,22,7,48,105,408
2006-07,31,DAL,NBA,PF,61,2,727,78,222,.351,26,91,.286,52,131,.397,.410,45,52,.865,33,153,186,44,14,6,33,68,227
2007-08,32,GSW,NBA,PF,44,0,457,61,137,.445,22,61,.361,39,76,.513,.526,29,32,.906,33,71,104,30,8,6,22,60,173
2008-09,33,TOT,NBA,PF,14,0,100,14,39,.359,5,15,.333,9,24,.375,.423,7,12,.583,11,23,34,9,1,1,6,5,40
2008-09,33,MIL,NBA,PF,11,0,77,12,30,.400,5,11,.455,7,19,.368,.483,7,11,.636,7,17,24,6,1,1,4,4,36
2008-09,33,SAS,NBA,PF,3,0,23,2,9,.222,0,4,.000,2,5,.400,.222,0,1,.000,4,6,10,3,0,0,2,1,4
