Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1958-59,23,DET,NBA,PF,31,0,271,43,126,.341,0,0,0,43,126,.341,.341,23,29,.793,0,0,88,12,0,0,0,30,109
1959-60,24,TOT,NBA,SF,57,0,715,109,290,.376,0,0,0,109,290,.376,.376,44,67,.657,0,0,225,39,0,0,0,93,262
1959-60,24,DET,NBA,0,7,0,116,22,60,.367,0,0,0,22,60,.367,.367,4,10,.400,0,0,48,6,0,0,0,19,48
1959-60,24,SYR,NBA,SF,50,0,599,87,230,.378,0,0,0,87,230,.378,.378,40,57,.702,0,0,177,33,0,0,0,74,214
1960-61,25,SYR,NBA,SF,75,0,1642,266,574,.463,0,0,0,266,574,.463,.463,73,108,.676,0,0,469,85,0,0,0,246,605
1961-62,26,TOT,NBA,SF,67,0,1861,305,749,.407,0,0,0,305,749,.407,.407,118,181,.652,0,0,563,115,0,0,0,211,728
1961-62,26,CHP,NBA,SF,15,0,498,82,217,.378,0,0,0,82,217,.378,.378,42,59,.712,0,0,83,31,0,0,0,55,206
1961-62,26,STL,NBA,SF,52,0,1363,223,532,.419,0,0,0,223,532,.419,.419,76,122,.623,0,0,480,84,0,0,0,156,522
1962-63,27,TOT,NBA,SF,61,0,1203,173,380,.455,0,0,0,173,380,.455,.455,62,96,.646,0,0,238,83,0,0,0,135,408
1962-63,27,STL,NBA,SF,42,0,662,107,216,.495,0,0,0,107,216,.495,.495,41,63,.651,0,0,129,42,0,0,0,86,255
1962-63,27,CHZ,NBA,SF,19,0,541,66,164,.402,0,0,0,66,164,.402,.402,21,33,.636,0,0,109,41,0,0,0,49,153
1963-64,28,BAL,NBA,SF,71,0,1125,116,290,.400,0,0,0,116,290,.400,.400,28,42,.667,0,0,301,47,0,0,0,166,260
