Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1959-60,22,STL,NBA,C,62,0,875,144,338,.426,0,0,0,144,338,.426,.426,76,119,.639,0,0,233,40,0,0,0,132,364
1960-61,23,DET,NBA,C,79,0,1657,350,776,.451,0,0,0,350,776,.451,.451,189,255,.741,0,0,500,129,0,0,0,205,889
1961-62,24,DET,NBA,C,80,0,1918,411,939,.438,0,0,0,411,939,.438,.438,286,422,.678,0,0,503,145,0,0,0,199,1108
1962-63,25,DET,NBA,C,79,0,2479,426,984,.433,0,0,0,426,984,.433,.433,220,339,.649,0,0,537,170,0,0,0,246,1072
1963-64,26,DET,NBA,C,74,0,1522,298,670,.445,0,0,0,298,670,.445,.445,186,279,.667,0,0,428,94,0,0,0,174,782
1964-65,27,BAL,NBA,PF,77,0,1280,143,338,.423,0,0,0,143,338,.423,.423,122,199,.613,0,0,355,60,0,0,0,156,408
1965-66,28,BAL,NBA,C,66,0,1229,188,457,.411,0,0,0,188,457,.411,.411,105,157,.669,0,0,334,111,0,0,0,134,481
1966-67,29,BAL,NBA,C,51,0,991,132,315,.419,0,0,0,132,315,.419,.419,70,110,.636,0,0,258,92,0,0,0,97,334
1967-68,30,BAL,NBA,C,59,0,841,128,311,.412,0,0,0,128,311,.412,.412,73,117,.624,0,0,186,61,0,0,0,92,329
1968-69,31,BAL,NBA,C,7,0,36,5,14,.357,0,0,0,5,14,.357,.357,3,6,.500,0,0,9,4,0,0,0,3,13
