Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966-67,24,CIN,NBA,PF,66,0,1074,173,403,.429,0,0,0,173,403,.429,.429,93,147,.633,0,0,257,49,0,0,0,153,439
1967-68,25,CIN,NBA,SF,72,0,1068,193,455,.424,0,0,0,193,455,.424,.424,78,114,.684,0,0,209,55,0,0,0,141,464
1968-69,26,TOT,NBA,PF-SF,49,0,542,108,272,.397,0,0,0,108,272,.397,.397,71,96,.740,0,0,150,17,0,0,0,59,287
1968-69,26,MIL,NBA,SF,14,0,227,39,106,.368,0,0,0,39,106,.368,.368,29,38,.763,0,0,64,3,0,0,0,22,107
1968-69,26,CHI,NBA,PF,35,0,315,69,166,.416,0,0,0,69,166,.416,.416,42,58,.724,0,0,86,14,0,0,0,37,180
1969-70,27,CHI,NBA,PF,82,0,3123,640,1373,.466,0,0,0,640,1373,.466,.466,442,525,.842,0,0,712,148,0,0,0,260,1722
1970-71,28,CHI,NBA,PF,81,0,3482,765,1710,.447,0,0,0,765,1710,.447,.447,513,619,.829,0,0,690,185,0,0,0,259,2043
1971-72,29,CHI,NBA,PF,79,0,3108,819,1854,.442,0,0,0,819,1854,.442,.442,399,509,.784,0,0,518,125,0,0,0,235,2037
1972-73,30,CHI,NBA,PF,82,0,3033,774,1794,.431,0,0,0,774,1794,.431,.431,347,421,.824,0,0,532,119,0,0,0,240,1895
1973-74,31,CHI,NBA,PF,82,0,3292,731,1752,.417,0,0,0,731,1752,.417,.417,323,395,.818,183,309,492,130,84,28,0,221,1785
1974-75,32,CHI,NBA,PF,61,0,2401,539,1256,.429,0,0,0,539,1256,.429,.429,264,318,.830,99,286,385,102,63,12,0,209,1342
1975-76,33,CHI,NBA,SF,76,0,2823,543,1391,.390,0,0,0,543,1391,.390,.390,362,452,.801,191,319,510,145,63,10,0,233,1448
1976-77,34,TOT,NBA,SF,59,0,1174,162,428,.379,0,0,0,162,428,.379,.379,109,132,.826,79,119,198,48,22,6,0,120,433
1976-77,34,CHI,NBA,SF,14,0,496,68,201,.338,0,0,0,68,201,.338,.338,35,46,.761,38,35,73,23,8,2,0,47,171
1976-77,34,NYN,NBA,SF,13,0,228,49,106,.462,0,0,0,49,106,.462,.462,33,39,.846,15,23,38,4,1,2,0,23,131
1976-77,34,SEA,NBA,SF,32,0,450,45,121,.372,0,0,0,45,121,.372,.372,41,47,.872,26,61,87,21,13,2,0,50,131
