Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1965-66,23,PHI,NBA,0,7,0,30,3,9,.333,0,0,0,3,9,.333,.333,0,0,0,0,0,7,4,0,0,0,10,6
1966-67,24,PHI,NBA,PG,6,0,29,5,10,.500,0,0,0,5,10,.500,.500,2,5,.400,0,0,3,10,0,0,0,8,12
1967-68,25,SEA,NBA,PG,82,0,1614,295,686,.430,0,0,0,295,686,.430,.430,213,254,.839,0,0,150,342,0,0,0,137,803
1968-69,26,TOT,NBA,PG,77,0,1478,189,499,.379,0,0,0,189,499,.379,.379,128,160,.800,0,0,162,199,0,0,0,174,506
1968-69,26,MIL,NBA,PG,15,0,242,36,114,.316,0,0,0,36,114,.316,.316,27,34,.794,0,0,27,27,0,0,0,24,99
1968-69,26,CHI,NBA,PG,62,0,1236,153,385,.397,0,0,0,153,385,.397,.397,101,126,.802,0,0,135,172,0,0,0,150,407
1969-70,27,CHI,NBA,PG,82,0,2544,365,855,.427,0,0,0,365,855,.427,.427,213,253,.842,0,0,227,474,0,0,0,206,943
1970-71,28,CHI,NBA,PG,82,0,2237,278,659,.422,0,0,0,278,659,.422,.422,226,269,.840,0,0,189,387,0,0,0,216,782
1971-72,29,CHI,NBA,PG,82,0,2450,358,832,.430,0,0,0,358,832,.430,.430,212,254,.835,0,0,170,377,0,0,0,212,928
1972-73,30,CHI,NBA,PG,82,0,2086,279,655,.426,0,0,0,279,655,.426,.426,159,189,.841,0,0,148,295,0,0,0,151,717
1973-74,31,CHI,NBA,SG,79,0,1708,263,564,.466,0,0,0,263,564,.466,.466,142,170,.835,32,71,103,303,104,12,0,156,668
1974-75,32,BUF,NBA,PG,76,0,1338,102,261,.391,0,0,0,102,261,.391,.391,54,67,.806,21,83,104,260,82,19,0,146,258
1975-76,33,BUF,NBA,PG,66,0,995,89,183,.486,0,0,0,89,183,.486,.486,35,48,.729,13,53,66,150,48,14,0,94,213
1976-77,34,WSB,NBA,PG,62,0,768,62,133,.466,0,0,0,62,133,.466,.466,29,37,.784,15,54,69,130,53,7,0,66,153
