Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,21,NYA,ABA,PG,63,0,2038,395,767,.515,4,25,.160,391,742,.527,.518,168,226,.743,77,126,203,175,0,0,137,219,962
1973-74,22,NYA,ABA,PG,75,0,2505,363,762,.476,8,29,.276,355,733,.484,.482,100,143,.699,92,122,214,341,154,22,164,192,834
1974-75,23,NYA,ABA,PG,79,0,2611,472,920,.513,10,46,.217,462,874,.529,.518,150,196,.765,86,146,232,282,221,26,152,216,1104
1975-76,24,NYA,ABA,PG,54,0,1733,354,724,.489,32,76,.421,322,648,.497,.511,164,207,.792,70,92,162,204,125,22,153,138,904
1976-77,25,KCK,NBA,PG,72,0,2488,501,995,.504,0,0,0,501,995,.504,.504,225,275,.818,88,150,238,320,199,16,0,206,1227
1977-78,26,DEN,NBA,PG,39,0,1222,182,403,.452,0,0,0,182,403,.452,.452,88,115,.765,30,68,98,132,71,9,77,120,452
1978-79,27,SDC,NBA,PG,20,0,212,30,83,.361,0,0,0,30,83,.361,.361,16,18,.889,13,13,26,20,24,0,17,34,76
1979-80,28,SDC,NBA,PG,78,0,2754,418,895,.467,90,239,.377,328,656,.500,.517,130,162,.802,76,112,188,335,147,25,141,246,1056
1980-81,29,SDC,NBA,PG,80,0,2312,310,591,.525,44,115,.383,266,476,.559,.562,146,185,.789,58,93,151,440,118,23,111,212,810
1981-82,30,SDC,NBA,PG,41,40,1274,165,328,.503,23,63,.365,142,265,.536,.538,90,110,.818,26,70,96,229,47,9,82,113,443
