Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992-93,22,DEN,NBA,SG,39,12,865,124,278,.446,0,4,.000,124,274,.453,.446,99,119,.832,39,85,124,49,24,5,44,82,347
1993-94,23,DEN,NBA,SG,82,82,2853,365,811,.450,2,9,.222,363,802,.453,.451,291,351,.829,119,230,349,199,116,16,131,165,1023
1994-95,24,DEN,NBA,SG,81,51,2329,312,661,.472,20,68,.294,292,593,.492,.487,267,324,.824,95,173,268,153,91,18,110,142,911
1995-96,25,DEN,NBA,SG,82,77,2810,379,911,.416,41,148,.277,338,763,.443,.439,320,379,.844,125,275,400,241,114,16,157,187,1119
1996-97,26,DEN,NBA,SG,52,52,1788,251,603,.416,70,182,.385,181,421,.430,.474,202,234,.863,74,143,217,133,60,20,101,119,774
1997-98,27,DEN,NBA,SG,31,15,718,75,225,.333,10,48,.208,65,177,.367,.356,75,86,.872,15,50,65,50,21,8,35,52,235
1998-99,28,DEN,NBA,SG,46,32,1194,114,290,.393,31,106,.292,83,184,.451,.447,61,71,.859,30,77,107,82,28,15,45,65,320
1999-00,29,DEN,NBA,SG,45,6,691,86,189,.455,17,56,.304,69,133,.519,.500,64,77,.831,23,61,84,61,18,12,33,56,253
2000-01,30,BOS,NBA,SG,78,74,2504,245,611,.401,91,242,.376,154,369,.417,.475,175,207,.845,65,219,284,168,93,14,90,182,756
2001-02,31,CLE,NBA,SG,50,5,665,70,188,.372,24,68,.353,46,120,.383,.436,44,52,.846,20,65,85,42,29,6,30,42,208
