Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,23,DNR,ABA,C,71,0,1623,275,570,.482,0,2,.000,275,568,.484,.482,119,159,.748,0,0,559,38,0,0,72,219,669
1968-69,24,DNR,ABA,C,71,0,2289,423,843,.502,2,3,.667,421,840,.501,.503,182,238,.765,272,507,779,77,0,0,92,248,1030
1969-70,25,DNR,ABA,C,79,0,2454,440,841,.523,0,2,.000,440,839,.524,.523,137,174,.787,250,514,764,112,0,0,137,293,1017
1970-71,26,DNR,ABA,PF,84,0,2849,490,1033,.474,4,14,.286,486,1019,.477,.476,158,182,.868,280,604,884,177,0,0,160,273,1142
1971-72,27,DNR,ABA,C,66,0,1816,337,669,.504,0,3,.000,337,666,.506,.504,140,166,.843,171,357,528,136,0,0,96,213,814
1972-73,28,DNR,ABA,C,77,0,2303,466,879,.530,2,7,.286,464,872,.532,.531,158,198,.798,203,334,537,107,0,0,126,267,1092
1973-74,29,DNR,ABA,C,82,0,1979,425,823,.516,0,1,.000,425,822,.517,.516,120,141,.851,164,253,417,76,48,8,83,233,970
1974-75,30,DNA,ABA,PF,84,0,1818,384,745,.515,0,1,.000,384,744,.516,.515,81,97,.835,127,216,343,106,59,14,76,270,849
1975-76,31,DNA,ABA,PF,80,0,1586,334,646,.517,5,11,.455,329,635,.518,.521,97,116,.836,123,231,354,116,48,20,91,192,770
1976-77,32,DEN,NBA,PF,53,0,480,107,246,.435,0,0,0,107,246,.435,.435,36,44,.818,45,51,96,33,15,1,0,59,250
