Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991-92,25,HOU,NBA,PF,43,7,566,83,161,.516,0,1,.000,83,160,.519,.516,25,44,.568,33,66,99,27,16,25,37,60,191
1992-93,26,HOU,NBA,PF,81,12,1800,240,444,.541,0,2,.000,240,442,.543,.541,125,176,.710,148,306,454,61,47,35,92,190,605
1993-94,27,HOU,NBA,PF,75,0,1292,142,310,.458,0,0,0,142,310,.458,.458,69,97,.711,101,184,285,37,32,26,69,159,353
1994-95,28,HOU,NBA,PF,61,26,1331,171,327,.523,0,2,.000,171,325,.526,.523,73,117,.624,98,180,278,44,40,38,71,136,415
1995-96,29,SAS,NBA,PF,44,6,393,40,97,.412,0,1,.000,40,96,.417,.412,5,17,.294,30,51,81,16,9,8,29,61,85
1996-97,30,SAS,NBA,PF,75,58,1837,257,593,.433,2,6,.333,255,587,.434,.435,81,118,.686,118,222,340,50,62,53,95,217,597
1997-98,31,SAS,NBA,PF,58,1,516,76,175,.434,0,1,.000,76,174,.437,.434,18,44,.409,24,67,91,22,19,12,38,71,170
1998-99,32,TOT,NBA,PF,28,0,307,30,76,.395,0,1,.000,30,75,.400,.395,5,11,.455,25,37,62,4,12,7,16,41,65
1998-99,32,VAN,NBA,PF,4,0,42,3,13,.231,0,0,0,3,13,.231,.231,0,2,.000,5,3,8,3,0,0,4,3,6
1998-99,32,DEN,NBA,PF,24,0,265,27,63,.429,0,1,.000,27,62,.435,.429,5,9,.556,20,34,54,1,12,7,12,38,59
