Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985-86,22,GSW,NBA,SG,55,30,1391,287,620,.463,5,27,.185,282,593,.476,.467,189,211,.896,42,73,115,105,70,23,75,130,768
1986-87,23,GSW,NBA,SG,82,82,2377,477,928,.514,19,63,.302,458,865,.529,.524,269,326,.825,39,142,181,261,98,36,154,217,1242
1987-88,24,GSW,NBA,SF,60,55,2033,470,926,.508,34,97,.351,436,829,.526,.526,239,270,.885,58,147,205,290,113,32,156,136,1213
1988-89,25,GSW,NBA,SF,82,82,3093,830,1630,.509,23,100,.230,807,1530,.527,.516,493,553,.892,152,331,483,415,176,39,296,178,2176
1989-90,26,GSW,NBA,SF,78,78,2830,682,1272,.536,87,234,.372,595,1038,.573,.570,505,568,.889,130,333,463,319,123,45,239,142,1956
1990-91,27,GSW,NBA,SF,82,82,3315,777,1449,.536,40,133,.301,737,1316,.560,.550,513,580,.884,141,302,443,329,173,63,245,176,2107
1991-92,28,GSW,NBA,SF,81,81,3346,830,1584,.524,64,175,.366,766,1409,.544,.544,350,420,.833,127,323,450,286,173,62,202,171,2074
1992-93,29,GSW,NBA,SF,46,46,1902,474,930,.510,60,133,.451,414,797,.519,.542,183,226,.810,42,190,232,166,68,41,139,76,1191
1993-94,30,GSW,NBA,SF,62,39,2324,410,869,.472,55,151,.364,355,718,.494,.503,165,219,.753,64,281,345,315,107,53,178,114,1040
1994-95,31,GSW,NBA,SF,25,23,890,170,348,.489,42,93,.452,128,255,.502,.549,94,107,.879,25,90,115,125,38,19,93,53,476
1995-96,32,GSW,NBA,SF,55,19,1617,269,539,.499,59,150,.393,210,389,.540,.554,137,160,.856,44,115,159,194,75,32,122,127,734
1996-97,33,GSW,NBA,SF,79,63,2733,438,792,.553,83,202,.411,355,590,.602,.605,184,213,.864,75,242,317,322,130,33,192,155,1143
1997-98,34,IND,NBA,SF,82,82,2177,333,692,.481,107,243,.440,226,449,.503,.559,154,164,.939,38,211,249,186,95,39,117,186,927
1998-99,35,IND,NBA,SF,50,50,1179,177,371,.477,73,157,.465,104,214,.486,.575,80,92,.870,25,135,160,81,47,13,60,101,507
1999-00,36,IND,NBA,SG,47,2,582,80,187,.428,45,110,.409,35,77,.455,.548,37,41,.902,14,62,76,37,28,9,28,60,242
2000-01,37,GSW,NBA,SF,20,8,374,36,106,.340,19,52,.365,17,54,.315,.429,24,28,.857,10,31,41,19,16,10,19,28,115
