Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992-93,23,MIN,NBA,PF,81,81,2823,503,1061,.474,4,40,.100,499,1021,.489,.476,462,553,.835,171,537,708,223,105,83,275,290,1472
1993-94,24,MIN,NBA,PF,70,67,2428,396,883,.448,6,25,.240,390,858,.455,.452,375,479,.783,160,442,602,307,87,86,259,264,1173
1994-95,25,MIN,NBA,C,81,80,2770,450,920,.489,13,40,.325,437,880,.497,.496,409,500,.818,164,449,613,234,101,87,225,302,1322
1995-96,26,TOT,NBA,C,74,71,2495,442,907,.487,9,39,.231,433,868,.499,.492,324,396,.818,184,354,538,197,71,71,187,276,1217
1995-96,26,MIN,NBA,C,44,44,1518,283,582,.486,9,31,.290,274,551,.497,.494,217,266,.816,98,204,302,129,40,43,112,157,792
1995-96,26,ATL,NBA,C,30,27,977,159,325,.489,0,8,.000,159,317,.502,.489,107,130,.823,86,150,236,68,31,28,75,119,425
1996-97,27,ATL,NBA,PF,82,82,3140,548,1128,.486,31,88,.352,517,1040,.497,.500,359,440,.816,212,508,720,223,102,64,218,277,1486
1997-98,28,ATL,NBA,PF,74,49,2282,354,730,.485,6,27,.222,348,703,.495,.489,306,354,.864,142,345,487,190,71,73,183,246,1020
1998-99,29,DET,NBA,PF,16,0,337,38,106,.358,1,3,.333,37,103,.359,.363,44,57,.772,21,33,54,24,15,12,19,30,121
1999-00,30,DET,NBA,C,82,82,2443,379,801,.473,7,24,.292,372,777,.479,.478,237,292,.812,175,378,553,186,83,45,186,326,1002
2000-01,31,TOT,NBA,C-PF,78,48,1663,277,551,.503,4,13,.308,273,538,.507,.506,170,204,.833,118,247,365,124,71,46,137,242,728
2000-01,31,DAL,NBA,C,53,35,930,165,323,.511,1,3,.333,164,320,.513,.512,67,82,.817,75,137,212,67,40,27,70,159,398
2000-01,31,WAS,NBA,PF,25,13,733,112,228,.491,3,10,.300,109,218,.500,.498,103,122,.844,43,110,153,57,31,19,67,83,330
2001-02,32,WAS,NBA,PF,57,48,1441,168,362,.464,2,10,.200,166,352,.472,.467,66,76,.868,74,227,301,151,60,25,85,129,404
2002-03,33,WAS,NBA,PF,76,66,2215,255,516,.494,2,16,.125,253,500,.506,.496,120,144,.833,114,388,502,235,82,40,87,206,632
2003-04,34,WAS,NBA,PF,48,18,984,119,256,.465,6,21,.286,113,235,.481,.477,40,50,.800,50,182,232,89,37,28,42,102,284
2004-05,35,MIA,NBA,PF,49,0,739,107,184,.582,1,7,.143,106,177,.599,.584,45,59,.763,36,95,131,41,32,15,29,78,260
