Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1982-83,23,HOU,NBA,C,6,0,64,11,15,.733,0,0,0,11,15,.733,.733,1,4,.250,6,11,17,0,1,12,7,14,23
1983-84,24,Did Not Play
1984-85,25,LAL,NBA,C,11,0,59,5,17,.294,0,0,0,5,17,.294,.294,2,8,.250,5,15,20,3,0,15,10,20,12
1985-86,26,TOT,NBA,C,29,0,126,15,43,.349,0,0,0,15,43,.349,.349,19,26,.731,13,19,32,7,4,19,12,35,49
1985-86,26,LAL,NBA,C,4,0,25,3,11,.273,0,0,0,3,11,.273,.273,4,6,.667,3,4,7,2,2,2,5,6,10
1985-86,26,DET,NBA,C,25,0,101,12,32,.375,0,0,0,12,32,.375,.375,15,20,.750,10,15,25,5,2,17,7,29,39
1986-87,27,DET,NBA,C,41,0,267,31,63,.492,0,0,0,31,63,.492,.492,14,24,.583,36,47,83,4,7,30,21,73,76
1987-88,28,DET,NBA,C,17,0,63,7,21,.333,0,0,0,7,21,.333,.333,3,6,.500,4,14,18,0,1,5,2,12,17
1988-89,29,HOU,NBA,C,43,0,228,27,62,.435,0,0,0,27,62,.435,.435,11,16,.688,17,47,64,3,5,29,22,51,65
1989-90,30,HOU,NBA,C,3,0,9,2,2,1.000,0,0,0,2,2,1.000,1.000,0,0,0,0,3,3,1,0,1,2,3,4
1990-91,31,Did Not Play(other pro leagueUSBL)
1991-92,32,CHI,NBA,C,4,0,9,1,3,.333,0,0,0,1,3,.333,.333,0,0,0,0,1,1,1,0,0,3,2,2
1992-93,33,Did Not Play(other pro leagueCBA)
1993-94,34,SAS,NBA,C,1,0,1,0,0,0,0,0,0,0,0,0,0,3,6,.500,1,0,1,0,0,0,1,1,3
