Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1978-79,22,POR,NBA,C,74,0,794,102,217,.470,0,0,0,102,217,.470,.470,36,74,.486,83,143,226,78,23,36,65,121,240
1979-80,23,IND,NBA,C,79,0,1541,199,396,.503,0,0,0,199,396,.503,.503,74,117,.632,145,249,394,115,48,121,78,211,472
1980-81,24,IND,NBA,C,81,0,1643,235,466,.504,0,1,.000,235,465,.505,.504,112,189,.593,173,295,468,144,44,119,121,185,582
1981-82,25,IND,NBA,C,79,42,1979,312,641,.487,0,0,0,312,641,.487,.487,123,189,.651,184,387,571,127,60,112,138,241,747
1982-83,26,TOT,NBA,C,83,11,1914,299,581,.515,0,1,.000,299,580,.516,.515,111,180,.617,190,334,524,139,67,92,124,221,709
1982-83,26,IND,NBA,C,51,7,1216,208,399,.521,0,1,.000,208,398,.523,.521,77,122,.631,115,204,319,115,51,63,88,137,493
1982-83,26,PHI,NBA,C,32,4,698,91,182,.500,0,0,0,91,182,.500,.500,34,58,.586,75,130,205,24,16,29,36,84,216
1983-84,27,PHI,NBA,C,80,10,1721,193,412,.468,0,0,0,193,412,.468,.468,69,113,.611,131,267,398,55,35,65,95,205,455
1984-85,28,PHI,NBA,C,58,0,875,117,235,.498,0,1,.000,117,234,.500,.498,36,49,.735,92,129,221,33,15,44,43,112,270
1985-86,29,PHI,NBA,C,75,2,1069,105,223,.471,0,0,0,105,223,.471,.471,51,81,.630,106,149,255,15,23,62,38,129,261
1986-87,30,SEA,NBA,C,78,7,1051,88,178,.494,0,2,.000,88,176,.500,.494,70,110,.636,106,171,277,21,21,42,36,137,246
1987-88,31,SEA,NBA,C,74,26,723,49,105,.467,0,0,0,49,105,.467,.467,22,32,.688,66,108,174,17,13,24,29,104,120
