Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,23,CHI,NBA,C,82,0,1872,222,445,.499,0,0,0,222,445,.499,.499,134,218,.615,0,0,869,254,0,0,0,296,578
1972-73,24,CHI,NBA,C,73,0,2009,254,516,.492,0,0,0,254,516,.492,.492,117,189,.619,0,0,797,271,0,0,0,232,625
1973-74,25,CHI,NBA,C,80,0,2632,313,612,.511,0,0,0,313,612,.511,.511,121,199,.608,285,692,977,246,58,173,0,281,747
1974-75,26,GSW,NBA,C,82,0,2519,299,573,.522,0,0,0,299,573,.522,.522,171,284,.602,259,611,870,178,95,116,0,305,769
1975-76,27,GSW,NBA,C,82,0,2184,212,404,.525,0,0,0,212,404,.525,.525,140,230,.609,270,506,776,149,78,83,0,247,564
1976-77,28,GSW,NBA,C,77,0,2018,263,450,.584,0,0,0,263,450,.584,.584,105,199,.528,199,416,615,112,74,81,0,242,631
1977-78,29,GSW,NBA,C,79,0,2268,272,476,.571,0,0,0,272,476,.571,.571,148,243,.609,236,522,758,147,74,90,150,291,692
1978-79,30,GSW,NBA,C,82,0,1917,231,439,.526,0,0,0,231,439,.526,.526,106,190,.558,213,395,608,136,47,50,153,264,568
1979-80,31,GSW,NBA,C,81,0,1683,203,383,.530,0,2,.000,203,381,.533,.530,84,149,.564,122,344,466,183,51,32,155,266,490
1980-81,32,GSW,NBA,C,66,0,838,64,152,.421,0,0,0,64,152,.421,.421,29,62,.468,73,144,217,52,24,13,74,194,157
