Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1982-83,22,SDC,NBA,SG,76,48,2022,318,704,.452,20,90,.222,298,614,.485,.466,94,130,.723,53,69,122,275,82,4,161,192,750
1983-84,23,SDC,NBA,SG,76,28,1571,258,573,.450,10,46,.217,248,527,.471,.459,66,88,.750,22,64,86,116,58,1,85,166,592
1984-85,24,MIL,NBA,SG,82,63,2496,359,732,.490,47,135,.348,312,597,.523,.523,106,130,.815,74,112,186,349,96,1,135,262,871
1985-86,25,MIL,NBA,SG,66,66,1739,284,568,.500,73,162,.451,211,406,.520,.564,75,86,.872,39,78,117,229,74,2,89,157,716
1986-87,26,MIL,NBA,PG,78,43,2147,315,682,.462,85,228,.373,230,454,.507,.524,131,147,.891,48,92,140,240,76,7,124,189,846
1987-88,27,TOT,NBA,SG,66,0,1445,242,523,.463,86,175,.491,156,348,.448,.545,59,71,.831,19,59,78,153,46,2,77,118,629
1987-88,27,MIL,NBA,SG,43,0,983,155,345,.449,55,118,.466,100,227,.441,.529,32,39,.821,12,34,46,109,30,0,49,80,397
1987-88,27,PHO,NBA,SG,23,0,462,87,178,.489,31,57,.544,56,121,.463,.576,27,32,.844,7,25,32,44,16,2,28,38,232
1988-89,28,TOT,NBA,SG,59,6,1204,203,430,.472,75,180,.417,128,250,.512,.559,48,57,.842,23,66,89,146,43,4,57,90,529
1988-89,28,PHO,NBA,SG,10,0,92,16,36,.444,4,12,.333,12,24,.500,.500,3,4,.750,2,3,5,8,2,0,5,8,39
1988-89,28,CHI,NBA,SG,49,6,1112,187,394,.475,71,168,.423,116,226,.513,.565,45,53,.849,21,63,84,138,41,4,52,82,490
1989-90,29,CHI,NBA,SG,63,0,1055,145,331,.438,87,181,.481,58,150,.387,.569,30,33,.909,11,42,53,110,30,2,30,87,407
1990-91,30,CHI,NBA,SG,73,0,843,146,344,.424,44,115,.383,102,229,.445,.488,26,27,.963,10,32,42,97,34,2,35,74,362
1991-92,31,CHI,NBA,SG,56,2,555,93,242,.384,36,96,.375,57,146,.390,.459,16,17,.941,7,17,24,54,14,1,22,33,238
