Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,22,TOT,NBA,PG,24,0,344,43,119,.361,25,62,.403,18,57,.316,.466,14,17,.824,6,38,44,42,13,0,17,23,125
1998-99,22,NJN,NBA,PG,11,0,131,14,44,.318,10,29,.345,4,15,.267,.432,11,13,.846,2,11,13,13,7,0,5,7,49
1998-99,22,BOS,NBA,PG,13,0,213,29,75,.387,15,33,.455,14,42,.333,.487,3,4,.750,4,27,31,29,6,0,12,16,76
1999-00,23,TOT,NBA,PG,55,1,612,80,208,.385,41,114,.360,39,94,.415,.483,32,48,.667,12,43,55,96,18,1,40,34,233
1999-00,23,GSW,NBA,PG,13,1,196,25,54,.463,11,23,.478,14,31,.452,.565,7,9,.778,0,16,16,39,6,0,15,13,68
1999-00,23,DAL,NBA,PG,42,0,416,55,154,.357,30,91,.330,25,63,.397,.455,25,39,.641,12,27,39,57,12,1,25,21,165
2000-01,24,VAN,NBA,PG,71,10,1415,170,416,.409,84,231,.364,86,185,.465,.510,37,52,.712,16,108,124,224,36,1,76,58,461
2001-02,25,DET,NBA,PG,67,0,1083,114,284,.401,69,186,.371,45,98,.459,.523,43,59,.729,13,90,103,140,23,1,61,83,340
2002-03,26,SAC,NBA,PG,49,1,709,80,210,.381,44,121,.364,36,89,.404,.486,20,27,.741,11,59,70,80,18,4,23,42,224
2003-04,27,MIL,NBA,PG,82,26,2016,210,524,.401,98,273,.359,112,251,.446,.494,55,72,.764,15,155,170,478,30,4,103,92,573
2004-05,28,MIA,NBA,PG,82,66,2576,331,726,.456,225,521,.432,106,205,.517,.611,68,86,.791,14,217,231,350,44,5,98,121,955
2005-06,29,CLE,NBA,PG,82,7,2089,190,491,.387,140,371,.377,50,120,.417,.530,32,50,.640,14,119,133,169,37,1,55,112,552
2006-07,30,CLE,NBA,PG,60,0,1173,137,355,.386,89,231,.385,48,124,.387,.511,30,44,.682,9,57,66,94,16,2,36,53,393
2007-08,31,CLE,NBA,SG,67,3,1336,151,363,.416,115,276,.417,36,87,.414,.574,20,28,.714,5,67,72,126,19,1,36,66,437
2008-09,32,MIL,NBA,PG,18,0,108,11,34,.324,11,28,.393,0,6,.000,.485,0,0,0,0,6,6,7,3,0,6,4,33
