Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989-90,22,SEA,NBA,PG,81,25,1630,299,738,.405,95,238,.399,204,500,.408,.470,89,110,.809,35,97,132,205,53,1,123,97,782
1990-91,23,SEA,NBA,PG,66,0,750,154,311,.495,32,81,.395,122,230,.530,.547,78,85,.918,17,54,71,111,23,1,54,40,418
1991-92,24,SEA,NBA,PG,75,1,1331,238,493,.483,83,186,.446,155,307,.505,.567,60,79,.759,17,64,81,125,51,4,56,84,619
1992-93,25,SEA,NBA,PG,69,2,1243,214,474,.451,64,169,.379,150,305,.492,.519,49,59,.831,18,89,107,151,63,3,58,78,541
1993-94,26,PHI,NBA,PG,81,70,2519,412,878,.469,135,354,.381,277,524,.529,.546,116,145,.800,28,168,196,424,107,5,167,96,1075
1994-95,27,PHI,NBA,PG,82,82,3318,571,1165,.490,197,425,.464,374,740,.505,.575,347,386,.899,27,247,274,619,149,4,242,159,1686
1995-96,28,BOS,NBA,PG,80,25,2328,379,806,.470,150,368,.408,229,438,.523,.563,130,147,.884,21,171,192,306,58,3,120,116,1038
1996-97,29,BOS,NBA,PG,24,8,708,110,253,.435,43,105,.410,67,148,.453,.520,37,43,.860,5,43,48,81,26,6,39,34,300
1997-98,30,BOS,NBA,PG,80,15,1686,281,609,.461,100,246,.407,181,363,.499,.544,122,144,.847,28,125,153,286,83,6,107,124,784
1998-99,31,BOS,NBA,PG,50,16,1156,168,371,.453,64,160,.400,104,211,.493,.539,64,73,.877,16,89,105,208,52,5,88,64,464
1999-00,32,BOS,NBA,PG,72,0,1139,196,435,.451,59,144,.410,137,291,.471,.518,66,76,.868,13,86,99,133,31,4,66,80,517
2000-01,33,DET,NBA,PG,60,0,1079,183,412,.444,44,105,.419,139,307,.453,.498,68,80,.850,6,88,94,110,30,2,60,63,478
2001-02,34,DET,NBA,PG,29,20,582,74,192,.385,24,71,.338,50,121,.413,.448,21,27,.778,1,56,57,78,14,2,33,37,193
2002-03,35,Did Not Play
2003-04,36,BOS,NBA,SG,1,0,11,2,3,.667,0,0,0,2,3,.667,.667,2,2,1.000,0,0,0,0,0,0,0,2,6
