Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,22,SEA,NBA,PG,3,0,26,2,10,.200,0,1,.000,2,9,.222,.200,0,0,0,0,3,3,2,3,0,2,2,4
1985-86,23,SEA,NBA,PG,82,29,1901,227,449,.506,24,74,.324,203,375,.541,.532,90,106,.849,29,91,120,303,110,9,92,113,568
1986-87,24,SEA,NBA,PG,73,26,1482,132,288,.458,29,79,.367,103,209,.493,.509,59,71,.831,23,90,113,353,74,3,85,72,352
1987-88,25,SEA,NBA,PG,77,0,949,89,218,.408,22,77,.286,67,141,.475,.459,43,53,.811,18,57,75,218,52,2,37,69,243
1988-89,26,POR,NBA,PG,48,2,952,115,250,.460,17,50,.340,98,200,.490,.494,50,64,.781,17,57,74,123,55,3,45,50,297
1989-90,27,POR,NBA,PG,82,8,1393,138,328,.421,16,59,.271,122,269,.454,.445,91,112,.813,29,93,122,231,82,4,80,84,383
1990-91,28,POR,NBA,PG,75,1,897,103,271,.380,36,104,.346,67,167,.401,.446,41,45,.911,22,53,75,141,50,7,50,49,283
1991-92,29,TOT,NBA,PG,62,5,1023,100,255,.392,23,70,.329,77,185,.416,.437,57,67,.851,16,59,75,172,46,4,47,53,280
1991-92,29,POR,NBA,PG,18,0,134,16,40,.400,3,10,.300,13,30,.433,.438,10,14,.714,0,9,9,20,6,0,5,6,45
1991-92,29,LAC,NBA,PG,44,5,889,84,215,.391,20,60,.333,64,155,.413,.437,47,53,.887,16,50,66,152,40,4,42,47,235
1992-93,30,DET,NBA,PG,65,2,836,69,167,.413,22,68,.324,47,99,.475,.479,28,32,.875,13,34,47,119,31,5,30,36,188
1993-94,31,Did Not Play(other pro leagueFrance)
1994-95,32,MIL,NBA,PG,7,0,77,9,17,.529,5,12,.417,4,5,.800,.676,1,1,1.000,1,4,5,12,4,0,4,8,24
