Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,22,INA,ABA,PF,73,0,1386,200,410,.488,1,5,.200,199,405,.491,.489,114,177,.644,152,326,478,49,0,0,84,210,515
1972-73,23,INA,ABA,PF,84,0,2541,328,735,.446,0,9,.000,328,726,.452,.446,148,252,.587,218,517,735,128,0,116,154,291,804
1973-74,24,INA,ABA,PF,83,0,2319,328,658,.498,3,8,.375,325,650,.500,.501,99,191,.518,198,478,676,96,70,177,177,295,758
1974-75,25,INA,ABA,C,81,0,2603,486,923,.527,0,4,.000,486,919,.529,.527,152,202,.752,296,451,747,131,73,132,209,330,1124
1975-76,26,INA,ABA,PF,74,0,2166,375,828,.453,1,4,.250,374,824,.454,.454,243,336,.723,248,422,670,147,80,80,196,306,994
1976-77,27,IND,NBA,C,82,0,2302,359,811,.443,0,0,0,359,811,.443,.443,161,244,.660,228,465,693,166,95,106,0,353,879
1977-78,28,TOT,NBA,PF,78,0,1966,340,710,.479,0,0,0,340,710,.479,.479,167,286,.584,199,378,577,102,63,81,175,290,847
1977-78,28,NJN,NBA,PF,45,0,1220,236,501,.471,0,0,0,236,501,.471,.471,118,205,.576,126,212,338,49,49,44,109,160,590
1977-78,28,DEN,NBA,PF,33,0,746,104,209,.498,0,0,0,104,209,.498,.498,49,81,.605,73,166,239,53,14,37,66,130,257
1978-79,29,KCK,NBA,PF,78,0,1618,211,428,.493,0,0,0,211,428,.493,.493,125,224,.558,138,293,431,91,50,66,134,288,547
1979-80,30,GSW,NBA,PF,49,0,708,82,179,.458,0,0,0,82,179,.458,.458,34,68,.500,59,121,180,47,21,24,59,128,198
