Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981-82,22,POR,NBA,PG,82,14,1387,187,453,.413,0,9,.000,187,444,.421,.413,152,200,.760,48,101,149,270,94,3,127,187,526
1982-83,23,POR,NBA,PG,47,36,1298,209,460,.454,0,1,.000,209,459,.455,.454,169,213,.793,34,83,117,293,101,5,131,139,587
1983-84,24,POR,NBA,PG,68,60,1893,251,561,.447,0,3,.000,251,558,.450,.447,194,246,.789,49,78,127,395,107,6,149,179,696
1984-85,25,POR,NBA,PG,75,59,2278,321,679,.473,0,2,.000,321,677,.474,.473,230,290,.793,54,165,219,522,143,5,194,189,872
1985-86,26,TOT,NBA,PG,62,29,1217,161,388,.415,4,14,.286,157,374,.420,.420,130,175,.743,32,93,125,246,72,2,115,123,456
1985-86,26,POR,NBA,PG,28,27,734,92,206,.447,1,3,.333,91,203,.448,.449,71,100,.710,20,52,72,139,49,1,58,78,256
1985-86,26,LAC,NBA,PG,34,2,483,69,182,.379,3,11,.273,66,171,.386,.387,59,75,.787,12,41,53,107,23,1,57,45,200
1986-87,27,LAC,NBA,PG,65,52,1759,275,671,.410,13,56,.232,262,615,.426,.420,163,200,.815,38,112,150,447,116,10,167,148,726
1987-88,28,LAC,NBA,PG,79,31,1636,223,533,.418,15,33,.455,208,500,.416,.432,101,136,.743,37,119,156,382,122,8,148,135,562
1988-89,29,CLE,NBA,SG,77,4,1086,136,319,.426,3,14,.214,133,305,.436,.431,91,112,.813,22,81,103,174,57,7,83,88,366
1989-90,30,Did Not Play
1990-91,31,CLE,NBA,PG,65,60,1841,230,496,.464,6,25,.240,224,471,.476,.470,143,172,.831,37,135,172,351,98,12,126,170,609
