Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,20,CLE,NBA,C,18,1,109,12,29,.414,0,0,0,12,29,.414,.414,1,5,.200,5,12,17,5,1,10,12,19,25
2002-03,21,CLE,NBA,PF,80,1,943,54,154,.351,0,0,0,54,154,.351,.351,11,30,.367,63,152,215,43,33,81,56,148,119
2003-04,22,CLE,NBA,C,56,3,730,57,147,.388,0,0,0,57,147,.388,.388,12,20,.600,72,127,199,34,26,51,29,116,126
2004-05,23,CLE,NBA,C,39,0,306,20,69,.290,0,2,.000,20,67,.299,.290,0,5,.000,30,40,70,15,8,27,12,53,40
2005-06,24,DAL,NBA,C,81,45,1510,75,154,.487,1,2,.500,74,152,.487,.490,39,72,.542,145,229,374,23,44,146,36,253,190
2006-07,25,DAL,NBA,C,81,9,1480,71,151,.470,0,1,.000,71,150,.473,.470,48,86,.558,166,272,438,30,40,113,63,244,190
2007-08,26,TOT,NBA,C,79,23,1295,94,180,.522,0,0,0,94,180,.522,.522,38,70,.543,160,232,392,40,26,88,58,146,226
2007-08,26,DAL,NBA,C,52,18,894,67,115,.583,0,0,0,67,115,.583,.583,24,40,.600,111,159,270,26,20,63,42,100,158
2007-08,26,NJN,NBA,C,27,5,401,27,65,.415,0,0,0,27,65,.415,.415,14,30,.467,49,73,122,14,6,25,16,46,68
2008-09,27,TOT,NBA,C,75,1,1036,74,171,.433,0,0,0,74,171,.433,.433,22,66,.333,114,159,273,32,29,56,39,128,170
2008-09,27,DAL,NBA,C,34,0,452,22,58,.379,0,0,0,22,58,.379,.379,12,29,.414,45,73,118,13,12,25,11,55,56
2008-09,27,CHA,NBA,C,41,1,584,52,113,.460,0,0,0,52,113,.460,.460,10,37,.270,69,86,155,19,17,31,28,73,114
2009-10,28,CHA,NBA,C,27,0,262,15,29,.517,0,0,0,15,29,.517,.517,2,9,.222,24,41,65,5,5,14,12,31,32
2010-11,29,CHA,NBA,C,16,0,181,8,24,.333,0,0,0,8,24,.333,.333,4,11,.364,12,28,40,7,4,15,11,26,20
2011-12,30,CHA,NBA,C,27,9,325,15,42,.357,0,0,0,15,42,.357,.357,1,6,.167,33,52,85,23,6,13,19,36,31
2012-13,31,CHA,NBA,C,22,1,226,8,27,.296,0,1,.000,8,26,.308,.296,0,1,.000,10,41,51,13,5,16,8,19,16
