Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990-91,22,ORL,NBA,SG,82,73,2336,503,1183,.425,125,334,.374,378,849,.445,.478,153,204,.750,62,173,235,134,62,25,127,203,1284
1991-92,23,ORL,NBA,SF,18,15,608,133,331,.402,29,89,.326,104,242,.430,.446,64,71,.901,14,52,66,35,20,9,31,49,359
1992-93,24,ORL,NBA,SF,54,43,1759,329,763,.431,108,268,.403,221,495,.446,.502,92,117,.786,38,148,186,136,57,18,104,131,858
1993-94,25,ORL,NBA,SF,82,37,2283,384,949,.405,155,388,.399,229,561,.408,.486,123,159,.774,54,164,218,216,81,32,93,161,1046
1994-95,26,ORL,NBA,SF,62,10,1499,283,645,.439,150,352,.426,133,293,.454,.555,86,114,.754,25,121,146,131,45,14,57,119,802
1995-96,27,ORL,NBA,SF,82,82,3041,491,1117,.440,267,628,.425,224,489,.458,.559,182,222,.820,63,246,309,243,90,29,122,169,1431
1996-97,28,ORL,NBA,SF,66,62,2166,298,749,.398,147,373,.394,151,376,.402,.496,80,101,.792,40,163,203,139,74,19,81,138,823
1997-98,29,TOT,NBA,SF,81,45,2290,329,828,.397,125,342,.365,204,486,.420,.473,105,130,.808,47,200,247,153,53,39,104,152,888
1997-98,29,DAL,NBA,SF,52,42,1797,258,666,.387,94,273,.344,164,393,.417,.458,97,118,.822,39,158,197,129,43,32,92,121,707
1997-98,29,PHO,NBA,SF,29,3,493,71,162,.438,31,69,.449,40,93,.430,.534,8,12,.667,8,42,50,24,10,7,12,31,181
1998-99,30,TOT,NBA,SF,36,9,738,87,213,.408,37,97,.381,50,116,.431,.495,23,31,.742,8,50,58,40,15,3,19,49,234
1998-99,30,NYK,NBA,SF,15,0,206,17,56,.304,8,29,.276,9,27,.333,.375,1,4,.250,3,17,20,8,3,1,5,17,43
1998-99,30,MIN,NBA,SF,21,9,532,70,157,.446,29,68,.426,41,89,.461,.538,22,27,.815,5,33,38,32,12,2,14,32,191
1999-00,31,VAN,NBA,SF,66,0,1263,125,333,.375,71,189,.376,54,144,.375,.482,48,57,.842,16,90,106,69,28,9,30,104,369
