Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997-98,23,CLE,NBA,SF,66,13,1839,239,586,.408,17,84,.202,222,502,.442,.422,275,315,.873,55,132,187,227,86,13,128,136,770
1998-99,24,CLE,NBA,SG,38,13,978,125,314,.398,21,69,.304,104,245,.424,.432,138,165,.836,20,89,109,145,48,4,82,73,409
1999-00,25,LAC,NBA,SG,64,58,2201,377,860,.438,55,178,.309,322,682,.472,.470,271,309,.877,80,178,258,220,90,11,167,149,1080
2000-01,26,SAS,NBA,SG,82,82,2859,413,993,.416,101,253,.399,312,740,.422,.467,342,402,.851,75,288,363,301,120,14,165,188,1269
2001-02,27,POR,NBA,SG,70,27,1860,247,612,.404,85,228,.373,162,384,.422,.473,178,208,.856,47,142,189,216,68,8,87,113,757
2002-03,28,POR,NBA,PG,76,76,2556,355,832,.427,116,331,.350,239,501,.477,.496,231,269,.859,53,211,264,325,90,16,128,141,1057
2003-04,29,POR,NBA,SG,51,46,1810,230,612,.376,79,259,.305,151,353,.428,.440,155,188,.824,26,156,182,228,66,3,90,79,694
2004-05,30,POR,NBA,SG,47,32,1239,152,391,.389,58,151,.384,94,240,.392,.463,70,87,.805,25,103,128,143,36,4,70,89,432
2005-06,31,TOT,NBA,SG,43,11,1047,108,303,.356,40,134,.299,68,169,.402,.422,93,111,.838,21,122,143,101,23,6,54,98,349
2005-06,31,HOU,NBA,SG,20,8,582,68,173,.393,19,67,.284,49,106,.462,.448,61,73,.836,12,71,83,53,15,4,37,49,216
2005-06,31,MIA,NBA,SG,23,3,465,40,130,.308,21,67,.313,19,63,.302,.388,32,38,.842,9,51,60,48,8,2,17,49,133
2006-07,32,CHA,NBA,SF,50,32,1190,126,294,.429,54,152,.355,72,142,.507,.520,93,106,.877,29,84,113,133,52,7,56,115,399
2007-08,33,CHA,NBA,SG,28,0,396,47,125,.376,19,52,.365,28,73,.384,.452,28,38,.737,9,43,52,44,12,1,25,49,141
