Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1963-64,25,BAL,NBA,SF,78,0,1148,203,484,.419,0,0,0,203,484,.419,.419,82,146,.562,0,0,309,57,0,0,0,123,488
1964-65,26,DET,NBA,SF,65,0,836,180,416,.433,0,0,0,180,416,.433,.433,62,98,.633,0,0,243,63,0,0,0,115,422
1965-66,27,DET,NBA,SF,60,0,783,182,439,.415,0,0,0,182,439,.415,.415,76,141,.539,0,0,260,42,0,0,0,94,440
1966-67,28,CHI,NBA,SF,78,0,1655,329,773,.426,0,0,0,329,773,.426,.426,134,222,.604,0,0,479,70,0,0,0,204,792
1967-68,29,SDR,NBA,SF,69,0,2548,530,1189,.446,0,0,0,530,1189,.446,.446,300,413,.726,0,0,710,176,0,0,0,259,1360
1968-69,30,SDR,NBA,SF,81,0,3130,687,1582,.434,0,0,0,687,1582,.434,.434,446,596,.748,0,0,776,214,0,0,0,303,1820
1969-70,31,SDR,NBA,SF,56,0,1578,338,756,.447,0,0,0,338,756,.447,.447,181,241,.751,0,0,388,78,0,0,0,135,857
1970-71,32,SEA,NBA,SF,79,0,2143,454,1018,.446,0,0,0,454,1018,.446,.446,249,320,.778,0,0,435,130,0,0,0,220,1157
1971-72,33,SEA,NBA,SF,73,0,1857,322,687,.469,0,0,0,322,687,.469,.469,188,237,.793,0,0,335,82,0,0,0,168,832
1972-73,34,KCO,NBA,SF,77,0,1240,276,575,.480,0,0,0,276,575,.480,.480,106,137,.774,0,0,198,80,0,0,0,128,658
1973-74,35,KCO,NBA,SF,77,0,2091,400,836,.478,0,0,0,400,836,.478,.478,210,272,.772,126,257,383,110,77,15,0,157,1010
1974-75,36,KCO,NBA,SF,21,0,232,46,98,.469,0,0,0,46,98,.469,.469,20,30,.667,14,25,39,10,12,1,0,31,112
