Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989-90,23,MIN,NBA,SF,66,0,746,117,255,.459,0,1,.000,117,254,.461,.459,153,197,.777,69,68,137,43,32,8,81,107,387
1990-91,24,Did Not Play(other pro leagueIsrael)
1991-92,25,SAS,NBA,SF,60,4,718,80,178,.449,0,0,0,80,178,.449,.449,92,133,.692,65,59,124,34,25,7,39,73,252
1992-93,26,ORL,NBA,SF,77,0,1636,194,391,.496,0,3,.000,194,388,.500,.496,318,390,.815,116,179,295,80,36,25,113,179,706
1993-94,27,ORL,NBA,SF,74,0,1357,174,347,.501,0,2,.000,174,345,.504,.501,199,269,.740,94,154,248,61,50,16,76,121,547
1994-95,28,ORL,NBA,SF,70,68,1841,206,434,.475,0,4,.000,206,430,.479,.475,223,299,.746,83,196,279,198,45,16,125,156,635
1995-96,29,ORL,NBA,SF,64,7,963,106,216,.491,0,2,.000,106,214,.495,.491,125,164,.762,57,96,153,42,29,15,52,97,337
1996-97,30,TOT,NBA,SF,62,4,858,62,146,.425,0,2,.000,62,144,.431,.425,94,117,.803,52,102,154,25,23,11,47,100,218
1996-97,30,ORL,NBA,SF,1,1,29,4,10,.400,0,0,0,4,10,.400,.400,4,4,1.000,1,0,1,1,0,0,3,3,12
1996-97,30,GSW,NBA,SF,36,1,509,37,96,.385,0,2,.000,37,94,.394,.385,62,78,.795,33,62,95,14,11,9,22,55,136
1996-97,30,CHH,NBA,SF,25,2,320,21,40,.525,0,0,0,21,40,.525,.525,28,35,.800,18,40,58,10,12,2,22,42,70
1997-98,31,TOT,NBA,SF,31,5,323,25,69,.362,0,0,0,25,69,.362,.362,29,33,.879,18,23,41,17,7,1,10,35,79
1997-98,31,ORL,NBA,SF,2,0,18,1,6,.167,0,0,0,1,6,.167,.167,3,4,.750,2,2,4,1,1,0,3,5,5
1997-98,31,CHH,NBA,SF,29,5,305,24,63,.381,0,0,0,24,63,.381,.381,26,29,.897,16,21,37,16,6,1,7,30,74
