Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992-93,23,WSB,NBA,PG,45,13,990,152,323,.471,3,13,.231,149,310,.481,.475,59,81,.728,25,81,106,157,31,6,72,81,366
1993-94,24,WSB,NBA,PG,61,1,749,87,216,.403,1,11,.091,86,205,.420,.405,43,52,.827,19,50,69,92,21,1,54,48,218
1994-95,25,WSB,NBA,PG,82,20,1704,207,498,.416,53,125,.424,154,373,.413,.469,109,125,.872,26,117,143,246,53,2,104,126,576
1995-96,26,DEN,NBA,PG,55,0,607,67,178,.376,8,26,.308,59,152,.388,.399,40,55,.727,8,55,63,106,13,5,40,49,182
1996-97,27,PHI,NBA,PG,61,4,634,81,190,.426,10,40,.250,71,150,.473,.453,45,48,.938,18,50,68,101,24,0,39,44,217
1997-98,28,PHI,NBA,PG,23,2,277,24,63,.381,0,3,.000,24,60,.400,.381,14,16,.875,2,12,14,37,8,1,23,34,62
1998-99,29,TOT,NBA,PG,24,1,244,36,84,.429,2,7,.286,34,77,.442,.440,18,20,.900,7,14,21,23,5,1,20,18,92
1998-99,29,ORL,NBA,PG,6,0,33,6,12,.500,0,2,.000,6,10,.600,.500,6,6,1.000,1,1,2,3,1,0,3,2,18
1998-99,29,NJN,NBA,PG,8,1,174,25,57,.439,2,4,.500,23,53,.434,.456,12,14,.857,6,11,17,16,3,1,15,14,64
1998-99,29,PHI,NBA,PG,10,0,37,5,15,.333,0,1,.000,5,14,.357,.333,0,0,0,0,2,2,4,1,0,2,2,10
1999-00,30,BOS,NBA,PG,48,0,432,61,154,.396,10,28,.357,51,126,.405,.429,20,21,.952,14,19,33,53,10,0,20,46,152
2000-01,31,TOT,NBA,PG,21,10,475,52,139,.374,11,36,.306,41,103,.398,.414,10,16,.625,4,35,39,72,8,0,31,37,125
2000-01,31,BOS,NBA,PG,7,1,144,15,44,.341,1,4,.250,14,40,.350,.352,7,11,.636,3,12,15,19,4,0,13,15,38
2000-01,31,CHH,NBA,PG,2,0,15,2,2,1.000,0,0,0,2,2,1.000,1.000,0,0,0,0,0,0,0,1,0,3,2,4
2000-01,31,NJN,NBA,PG,12,9,316,35,93,.376,10,32,.313,25,61,.410,.430,3,5,.600,1,23,24,53,3,0,15,20,83
2001-02,32,LAC,NBA,PG,18,0,130,14,44,.318,7,27,.259,7,17,.412,.398,4,7,.571,1,11,12,13,3,1,12,10,39
2002-03,33,Did Not Play(other pro leagueCBA)
2003-04,34,TOT,NBA,PG,61,11,1033,99,245,.404,3,23,.130,96,222,.432,.410,23,31,.742,16,70,86,138,26,2,58,89,224
2003-04,34,NJN,NBA,PG,6,0,22,3,8,.375,0,0,0,3,8,.375,.375,2,2,1.000,0,1,1,4,1,0,2,4,8
2003-04,34,LAC,NBA,PG,55,11,1011,96,237,.405,3,23,.130,93,214,.435,.411,21,29,.724,16,69,85,134,25,2,56,85,216
