Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1979-80,22,IND,NBA,SG,82,0,2027,275,609,.452,2,5,.400,273,604,.452,.453,136,174,.782,69,154,223,252,211,48,166,194,688
1980-81,23,IND,NBA,SG,82,0,1867,265,559,.474,2,16,.125,263,543,.484,.476,125,178,.702,70,123,193,188,186,37,122,236,657
1981-82,24,PHO,NBA,SG,64,3,937,125,281,.445,1,4,.250,124,277,.448,.447,74,100,.740,30,57,87,80,78,10,71,115,325
1982-83,25,CHI,NBA,SG,58,11,683,82,159,.516,1,5,.200,81,154,.526,.519,36,45,.800,27,78,105,106,49,10,59,91,201
1983-84,26,Did Not Play(other pro leagueCBA)
1984-85,27,WSB,NBA,SG,73,24,1232,142,299,.475,20,64,.313,122,235,.519,.508,54,79,.684,34,100,134,173,96,21,84,152,358
1985-86,28,WSB,NBA,SG,70,7,842,73,209,.349,17,68,.250,56,141,.397,.390,32,56,.571,24,71,95,107,85,3,44,101,195
1986-87,29,MIL,NBA,SG,68,2,900,76,213,.357,13,50,.260,63,163,.387,.387,47,58,.810,31,71,102,66,105,8,34,118,212
1987-88,30,TOT,NBA,SG,65,15,1437,156,365,.427,37,102,.363,119,263,.452,.478,74,97,.763,25,102,127,151,114,43,88,172,423
1987-88,30,MIL,NBA,SG,2,0,5,0,1,.000,0,1,.000,0,0,0,.000,0,0,0,0,1,1,1,0,0,0,2,0
1987-88,30,NJN,NBA,SG,63,15,1432,156,364,.429,37,101,.366,119,263,.452,.479,74,97,.763,25,101,126,150,114,43,88,170,423
1988-89,31,ATL,NBA,SG,38,0,267,28,86,.326,8,31,.258,20,55,.364,.372,8,16,.500,7,25,32,24,16,2,14,41,72
