Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990-91,22,LAL,NBA,PF,52,0,380,56,123,.455,0,0,0,56,123,.455,.455,32,49,.653,40,56,96,10,11,38,16,71,144
1991-92,23,LAL,NBA,C,81,47,1876,220,491,.448,0,2,.000,220,489,.450,.448,138,223,.619,155,268,423,59,53,159,73,203,578
1992-93,24,LAL,NBA,PF,79,13,1551,238,520,.458,0,3,.000,238,517,.460,.458,130,204,.637,127,205,332,48,59,100,69,165,606
1993-94,25,LAL,NBA,PF,76,74,2253,373,808,.462,0,2,.000,373,806,.463,.462,188,273,.689,167,352,519,86,64,146,98,241,934
1994-95,26,LAL,NBA,PF,73,59,2076,360,785,.459,0,1,.000,360,784,.459,.459,193,290,.666,168,277,445,92,69,132,98,246,913
1995-96,27,LAL,NBA,PF,82,82,2699,447,888,.503,0,5,.000,447,883,.506,.503,249,349,.713,162,461,623,181,88,212,137,300,1143
1996-97,28,LAL,NBA,PF,77,77,2516,442,942,.469,1,4,.250,441,938,.470,.470,263,370,.711,207,408,615,126,46,117,130,276,1148
1997-98,29,LAL,NBA,PF,81,28,1784,289,624,.463,1,2,.500,288,622,.463,.464,237,342,.693,143,312,455,78,35,102,115,209,816
1998-99,30,TOT,NBA,C,49,33,1459,222,465,.477,0,1,.000,222,464,.478,.477,172,269,.639,126,271,397,69,39,73,80,159,616
1998-99,30,LAL,NBA,C,17,1,325,44,101,.436,0,0,0,44,101,.436,.436,38,62,.613,38,58,96,8,1,16,22,51,126
1998-99,30,CHH,NBA,C,32,32,1134,178,364,.489,0,1,.000,178,363,.490,.489,134,207,.647,88,213,301,61,38,57,58,108,490
1999-00,31,CHH,NBA,C,78,77,2538,370,829,.446,0,6,.000,370,823,.450,.446,247,358,.690,168,422,590,129,56,150,127,269,987
2000-01,32,CHH,NBA,PF,78,78,2337,367,834,.440,0,6,.000,367,828,.443,.440,288,406,.709,157,451,608,104,60,140,144,280,1022
2001-02,33,CHH,NBA,PF,77,74,2156,384,794,.484,0,2,.000,384,792,.485,.484,306,384,.797,133,397,530,102,60,137,138,264,1074
2002-03,34,TOT,NBA,C,56,1,869,117,295,.397,0,1,.000,117,294,.398,.397,109,136,.801,47,134,181,51,33,39,50,129,343
2002-03,34,NOH,NBA,C,41,1,685,101,247,.409,0,1,.000,101,246,.411,.409,93,115,.809,34,108,142,42,24,31,42,102,295
2002-03,34,SEA,NBA,C,15,0,184,16,48,.333,0,0,0,16,48,.333,.333,16,21,.762,13,26,39,9,9,8,8,27,48
2003-04,35,DET,NBA,C,65,27,892,138,314,.439,0,0,0,138,314,.439,.439,85,124,.685,52,157,209,45,21,50,63,137,361
2004-05,36,TOT,NBA,C,40,1,390,39,123,.317,0,2,.000,39,121,.322,.317,42,55,.764,28,65,93,19,8,7,29,57,120
2004-05,36,NJN,NBA,C,10,0,50,0,7,.000,0,0,0,0,7,.000,.000,2,4,.500,3,8,11,3,0,1,1,10,2
2004-05,36,DET,NBA,C,30,1,340,39,116,.336,0,2,.000,39,114,.342,.336,40,51,.784,25,57,82,16,8,6,28,47,118
