Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1958-59,24,MNL,NBA,SF,70,0,2855,605,1482,.408,0,0,0,605,1482,.408,.408,532,685,.777,0,0,1050,287,0,0,0,270,1742
1959-60,25,MNL,NBA,SF,70,0,2873,755,1781,.424,0,0,0,755,1781,.424,.424,564,770,.732,0,0,1150,243,0,0,0,234,2074
1960-61,26,LAL,NBA,SF,73,0,3133,931,2166,.430,0,0,0,931,2166,.430,.430,676,863,.783,0,0,1447,371,0,0,0,279,2538
1961-62,27,LAL,NBA,SF,48,0,2129,680,1588,.428,0,0,0,680,1588,.428,.428,476,631,.754,0,0,892,222,0,0,0,155,1836
1962-63,28,LAL,NBA,SF,80,0,3370,1029,2273,.453,0,0,0,1029,2273,.453,.453,661,790,.837,0,0,1146,386,0,0,0,226,2719
1963-64,29,LAL,NBA,SF,78,0,3164,756,1778,.425,0,0,0,756,1778,.425,.425,471,586,.804,0,0,936,347,0,0,0,235,1983
1964-65,30,LAL,NBA,SF,74,0,3056,763,1903,.401,0,0,0,763,1903,.401,.401,483,610,.792,0,0,950,280,0,0,0,235,2009
1965-66,31,LAL,NBA,SF,65,0,1975,415,1034,.401,0,0,0,415,1034,.401,.401,249,337,.739,0,0,621,224,0,0,0,157,1079
1966-67,32,LAL,NBA,SF,70,0,2706,711,1658,.429,0,0,0,711,1658,.429,.429,440,541,.813,0,0,898,215,0,0,0,211,1862
1967-68,33,LAL,NBA,SF,77,0,3029,757,1709,.443,0,0,0,757,1709,.443,.443,488,621,.786,0,0,941,355,0,0,0,232,2002
1968-69,34,LAL,NBA,SF,76,0,3064,730,1632,.447,0,0,0,730,1632,.447,.447,421,567,.743,0,0,805,408,0,0,0,204,1881
1969-70,35,LAL,NBA,SF,54,0,2213,511,1051,.486,0,0,0,511,1051,.486,.486,276,357,.773,0,0,559,292,0,0,0,132,1298
1970-71,36,LAL,NBA,SF,2,0,57,8,19,.421,0,0,0,8,19,.421,.421,4,6,.667,0,0,11,2,0,0,0,6,20
1971-72,37,LAL,NBA,SF,9,0,239,42,97,.433,0,0,0,42,97,.433,.433,22,27,.815,0,0,57,18,0,0,0,20,106
