Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,23,BOS,NBA,SF,64,6,1470,241,546,.441,3,10,.300,238,536,.444,.444,200,298,.671,92,125,217,70,56,11,88,147,685
1996-97,24,BOS,NBA,SG,72,67,2435,374,820,.456,2,8,.250,372,812,.458,.457,328,436,.752,126,203,329,129,72,13,139,213,1078
1997-98,25,DEN,NBA,SF,4,4,145,24,61,.393,0,0,0,24,61,.393,.393,31,45,.689,10,11,21,12,4,0,9,9,79
1998-99,26,DEN,NBA,SF,38,8,780,80,219,.365,6,26,.231,74,193,.383,.379,111,139,.799,34,47,81,37,27,8,49,76,277
1999-00,27,BOS,NBA,SF,68,17,1378,165,386,.427,25,72,.347,140,314,.446,.460,134,169,.793,55,101,156,93,44,16,66,165,489
2000-01,28,BOS,NBA,SF,81,11,1745,162,448,.362,46,139,.331,116,309,.375,.413,165,231,.714,64,143,207,112,64,13,76,179,535
2001-02,29,BOS,NBA,SF,74,30,1747,144,385,.374,24,86,.279,120,299,.401,.405,160,219,.731,58,163,221,109,77,8,95,179,472
2002-03,30,BOS,NBA,SF,82,79,2350,254,575,.442,37,110,.336,217,465,.467,.474,201,268,.750,143,239,382,140,86,19,97,234,746
2003-04,31,TOT,NBA,SF,71,36,1886,231,598,.386,35,127,.276,196,471,.416,.416,215,283,.760,65,221,286,120,70,9,88,180,712
2003-04,31,BOS,NBA,SF,21,0,513,77,177,.435,11,32,.344,66,145,.455,.466,78,109,.716,21,74,95,25,22,1,31,52,243
2003-04,31,CLE,NBA,SF,50,36,1373,154,421,.366,24,95,.253,130,326,.399,.394,137,174,.787,44,147,191,95,48,8,57,128,469
2004-05,32,TOT,NBA,SG,55,39,1322,142,330,.430,28,73,.384,114,257,.444,.473,112,161,.696,44,128,172,92,38,4,60,147,424
2004-05,32,NJN,NBA,SG,21,21,739,87,185,.470,17,40,.425,70,145,.483,.516,74,108,.685,28,67,95,42,16,2,34,80,265
2004-05,32,TOR,NBA,SG,34,18,583,55,145,.379,11,33,.333,44,112,.393,.417,38,53,.717,16,61,77,50,22,2,26,67,159
2005-06,33,TOR,NBA,SF,28,11,352,29,75,.387,5,18,.278,24,57,.421,.420,28,38,.737,10,40,50,15,7,2,15,55,91
2006-07,34,TOT,NBA,SF,21,0,121,19,47,.404,8,19,.421,11,28,.393,.489,8,14,.571,3,14,17,7,3,0,7,12,54
2006-07,34,SAS,NBA,SF,16,0,88,15,34,.441,8,17,.471,7,17,.412,.559,4,7,.571,1,13,14,6,2,0,5,6,42
2006-07,34,CHA,NBA,SF,5,0,33,4,13,.308,0,2,.000,4,11,.364,.308,4,7,.571,2,1,3,1,1,0,2,6,12
