Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,23,DAL,NBA,SG,28,15,759,102,256,.398,28,92,.304,74,164,.451,.453,65,80,.813,21,69,90,68,27,5,66,75,297
1997-98,24,DAL,NBA,SG,67,19,1505,199,558,.357,48,163,.294,151,395,.382,.400,65,84,.774,35,126,161,167,56,8,106,140,511
1998-99,25,DAL,NBA,SG,33,2,567,89,221,.403,18,59,.305,71,162,.438,.443,53,65,.815,12,71,83,64,40,2,36,44,249
1999-00,26,DAL,NBA,SG,68,67,2025,316,730,.433,73,186,.392,243,544,.447,.483,162,195,.831,69,254,323,211,105,13,102,190,867
2000-01,27,TOT,NBA,PG,50,0,830,81,267,.303,30,95,.316,51,172,.297,.360,68,79,.861,18,110,128,95,44,2,48,88,260
2000-01,27,NYK,NBA,PG,28,0,421,40,131,.305,16,47,.340,24,84,.286,.366,24,28,.857,9,43,52,29,22,1,21,46,120
2000-01,27,VAN,NBA,PG,22,0,409,41,136,.301,14,48,.292,27,88,.307,.353,44,51,.863,9,67,76,66,22,1,27,42,140
2001-02,28,BOS,NBA,PG,79,4,1643,190,488,.389,95,247,.385,95,241,.394,.487,131,155,.845,22,191,213,184,56,1,94,145,606
2002-03,29,IND,NBA,SG,71,10,1275,163,380,.429,62,160,.388,101,220,.459,.511,70,87,.805,23,122,145,209,38,7,98,111,458
2003-04,30,MIL,NBA,PG,43,0,571,79,196,.403,29,66,.439,50,130,.385,.477,44,51,.863,13,58,71,90,26,2,54,63,231
2004-05,31,MIL,NBA,SG,62,5,1014,114,304,.375,21,83,.253,93,221,.421,.410,52,64,.813,11,92,103,115,30,1,64,103,301
