Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,25,SEA,NBA,C,78,9,1115,150,305,.492,0,4,.000,150,301,.498,.492,85,127,.669,76,184,260,100,34,15,100,171,385
1985-86,26,SEA,NBA,C,40,2,311,30,58,.517,0,0,0,30,58,.517,.517,18,27,.667,16,38,54,21,11,7,23,74,78
1986-87,27,TOT,NBA,PF-C,44,0,487,63,124,.508,0,4,.000,63,120,.525,.508,50,70,.714,48,68,116,17,20,6,32,118,176
1986-87,27,LAL,NBA,PF,37,0,404,53,94,.564,0,0,0,53,94,.564,.564,40,59,.678,40,57,97,12,14,4,25,105,146
1986-87,27,SAS,NBA,C,7,0,83,10,30,.333,0,4,.000,10,26,.385,.333,10,11,.909,8,11,19,5,6,2,7,13,30
1987-88,28,SAS,NBA,C,70,68,2227,425,805,.528,1,5,.200,424,800,.530,.529,268,349,.768,167,316,483,266,74,36,207,275,1119
1988-89,29,SAS,NBA,C,64,60,1822,337,654,.515,0,2,.000,337,652,.517,.515,201,281,.715,148,258,406,131,102,35,165,252,875
1989-90,30,SAS,NBA,C,78,12,1438,211,387,.545,0,2,.000,211,385,.548,.545,95,141,.674,89,238,327,105,66,37,93,226,517
1990-91,31,MIL,NBA,PF,75,73,1912,372,706,.527,0,2,.000,372,704,.528,.527,198,248,.798,129,297,426,131,86,43,160,255,942
1991-92,32,MIL,NBA,SF,65,60,1556,306,584,.524,3,6,.500,303,578,.524,.527,125,163,.767,97,247,344,122,60,23,112,223,740
1992-93,33,MIL,NBA,C,66,64,2075,456,836,.545,8,26,.308,448,810,.553,.550,195,268,.728,120,285,405,196,80,44,202,235,1115
1993-94,34,TOT,NBA,C,71,46,2094,368,754,.488,4,20,.200,364,734,.496,.491,195,254,.768,85,319,404,222,80,27,181,242,935
1993-94,34,MIL,NBA,C,43,40,1441,251,521,.482,3,18,.167,248,503,.493,.485,148,191,.775,53,226,279,165,52,16,125,165,653
1993-94,34,CHH,NBA,C,28,6,653,117,233,.502,1,2,.500,116,231,.502,.504,47,63,.746,32,93,125,57,28,11,56,77,282
1994-95,35,Did Not Play(injuryshoulder)
1995-96,36,SEA,NBA,C,63,8,986,123,252,.488,32,79,.405,91,173,.526,.552,61,86,.709,26,125,151,58,26,8,78,185,339
1996-97,37,BOS,NBA,PF,17,2,255,32,73,.438,7,20,.350,25,53,.472,.486,10,14,.714,6,28,34,15,5,4,19,42,81
