Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,24,BAL,NBA,SG,76,0,1219,157,439,.358,0,0,0,157,439,.358,.358,80,116,.690,0,0,192,121,0,0,0,137,394
1970-71,25,BAL,NBA,SG,77,0,1707,340,815,.417,0,0,0,340,815,.417,.417,119,183,.650,0,0,251,165,0,0,0,165,799
1971-72,26,TOT,NBA,SG,79,0,2215,446,1018,.438,0,0,0,446,1018,.438,.438,182,293,.621,0,0,326,211,0,0,0,242,1074
1971-72,26,BAL,NBA,SG,2,0,68,6,27,.222,0,0,0,6,27,.222,.222,3,9,.333,0,0,19,12,0,0,0,7,15
1971-72,26,PHI,NBA,SG,77,0,2147,440,991,.444,0,0,0,440,991,.444,.444,179,284,.630,0,0,307,199,0,0,0,235,1059
1972-73,27,PHI,NBA,SG,81,0,2993,679,1614,.421,0,0,0,679,1614,.421,.421,259,368,.704,0,0,485,349,0,0,0,252,1617
1973-74,28,PHI,NBA,SG,78,0,3044,706,1641,.430,0,0,0,706,1641,.430,.430,254,358,.709,82,289,371,443,113,23,0,276,1666
1974-75,29,PHI,NBA,PG,77,0,3046,715,1598,.447,0,0,0,715,1598,.447,.447,256,347,.738,73,267,340,336,82,20,0,257,1686
1975-76,30,PHI,NBA,PG,82,0,2992,665,1594,.417,0,0,0,665,1594,.417,.417,219,312,.702,113,186,299,372,137,13,0,286,1549
1976-77,31,TOT,NBA,SG,61,0,1112,209,500,.418,0,0,0,209,500,.418,.418,68,96,.708,55,62,117,125,39,9,0,125,486
1976-77,31,PHI,NBA,SG,14,0,237,43,101,.426,0,0,0,43,101,.426,.426,10,19,.526,10,14,24,21,11,2,0,29,96
1976-77,31,MIL,NBA,SG,47,0,875,166,399,.416,0,0,0,166,399,.416,.416,58,77,.753,45,48,93,104,28,7,0,96,390
