Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,22,CIN,NBA,SF,56,0,497,74,193,.383,0,0,0,74,193,.383,.383,43,66,.652,0,0,61,36,0,0,0,49,191
1969-70,23,CIN,NBA,SF,74,0,2077,461,1026,.449,0,0,0,461,1026,.449,.449,176,243,.724,0,0,310,107,0,0,0,209,1098
1970-71,24,TOT,NBA,SF,67,0,909,148,368,.402,0,0,0,148,368,.402,.402,73,106,.689,0,0,151,61,0,0,0,115,369
1970-71,24,CIN,NBA,SF,1,0,21,3,8,.375,0,0,0,3,8,.375,.375,1,3,.333,0,0,4,0,0,0,0,2,7
1970-71,24,PHI,NBA,SF,66,0,888,145,360,.403,0,0,0,145,360,.403,.403,72,103,.699,0,0,147,61,0,0,0,113,362
1971-72,25,PHI,NBA,SF,74,0,1699,347,837,.415,0,0,0,347,837,.415,.415,185,243,.761,0,0,276,90,0,0,0,184,879
1972-73,26,DET,NBA,SF,63,0,1460,243,627,.388,0,0,0,243,627,.388,.388,61,87,.701,0,0,183,94,0,0,0,150,547
1973-74,27,CLE,NBA,SF,58,0,649,112,288,.389,0,0,0,112,288,.389,.389,54,64,.844,43,65,108,62,19,6,0,79,278
1974-75,28,CLE,NBA,SF,73,0,1136,217,521,.417,0,0,0,217,521,.417,.417,69,97,.711,56,54,110,103,22,2,0,130,503
1975-76,29,Did Not Play
1976-77,30,BUF,NBA,SF,59,0,689,99,247,.401,0,0,0,99,247,.401,.401,30,44,.682,33,43,76,48,16,0,0,92,228
