Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995-96,23,IND,NBA,SG,15,1,85,8,19,.421,1,3,.333,7,16,.438,.447,15,18,.833,4,5,9,8,6,1,7,12,32
1996-97,24,IND,NBA,SG,47,0,572,67,156,.429,29,70,.414,38,86,.442,.522,61,77,.792,13,68,81,41,27,6,22,51,224
1997-98,25,IND,NBA,SG,65,1,874,85,222,.383,32,85,.376,53,137,.387,.455,59,69,.855,14,109,123,45,40,3,22,101,261
1998-99,26,IND,NBA,SG,12,0,87,6,21,.286,1,9,.111,5,12,.417,.310,6,6,1.000,2,9,11,4,0,0,3,11,19
1999-00,27,CHI,NBA,SG,31,11,845,89,230,.387,32,94,.340,57,136,.419,.457,69,76,.908,7,103,110,85,40,2,43,66,279
2000-01,28,CHI,NBA,SG,74,37,2247,217,495,.438,103,250,.412,114,245,.465,.542,136,157,.866,21,287,308,263,98,12,74,155,673
2001-02,29,CHI,NBA,SG,79,8,1408,121,291,.416,24,92,.261,97,199,.487,.457,79,94,.840,18,192,210,136,61,5,32,87,345
2002-03,30,CHI,NBA,SG,63,0,784,49,126,.389,5,21,.238,44,105,.419,.409,41,50,.820,11,126,137,70,40,5,25,59,144
2003-04,31,MIN,NBA,SG,79,3,1804,178,383,.465,76,172,.442,102,211,.483,.564,98,116,.845,21,247,268,109,66,10,44,136,530
2004-05,32,MIN,NBA,SG,76,0,1272,139,284,.489,70,145,.483,69,139,.496,.613,89,102,.873,32,149,181,85,50,15,20,105,437
