Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988-89,23,LAC,NBA,PG,71,48,1924,361,830,.435,5,22,.227,356,808,.441,.438,119,162,.735,80,158,238,506,144,9,258,170,846
1989-90,24,LAC,NBA,PG,44,44,1529,241,517,.466,5,21,.238,236,496,.476,.471,88,113,.779,59,136,195,442,108,5,206,120,575
1990-91,25,LAC,NBA,PG,68,65,2105,265,587,.451,9,39,.231,256,548,.467,.459,51,74,.689,69,140,209,587,103,12,210,192,590
1991-92,26,LAC,NBA,PG,78,53,2049,275,595,.462,15,51,.294,260,544,.478,.475,44,54,.815,34,150,184,538,138,14,187,181,609
1992-93,27,LAC,NBA,PG,74,8,1624,210,476,.441,11,42,.262,199,434,.459,.453,55,74,.743,27,112,139,353,106,9,129,168,486
1993-94,28,LAC,NBA,PG,78,8,1533,253,563,.449,17,62,.274,236,501,.471,.464,65,76,.855,42,100,142,291,119,12,136,139,588
1994-95,29,LAC,NBA,PG,33,2,470,78,166,.470,4,16,.250,74,150,.493,.482,45,55,.818,8,27,35,93,29,3,44,66,205
1995-96,30,NYK,NBA,PG,47,1,596,88,181,.486,8,24,.333,80,157,.510,.508,48,58,.828,12,40,52,69,39,3,45,91,232
1996-97,31,MIA,NBA,PG,28,0,365,39,110,.355,14,46,.304,25,64,.391,.418,18,22,.818,8,30,38,45,16,0,27,39,110
1997-98,32,POR,NBA,PG,22,2,359,43,93,.462,7,19,.368,36,74,.486,.500,12,14,.857,8,40,48,84,17,2,24,30,105
1998-99,33,POR,NBA,PG,2,0,7,0,1,.000,0,0,0,0,1,.000,.000,0,0,0,0,0,0,3,1,0,0,0,0
1999-00,34,POR,NBA,PG,3,0,24,6,14,.429,0,0,0,6,14,.429,.429,0,0,0,0,3,3,1,1,0,2,3,12
2000-01,35,POR,NBA,PG,4,0,17,5,7,.714,0,0,0,5,7,.714,.714,0,0,0,0,0,0,1,0,0,0,1,10
