Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987-88,23,SAS,NBA,PF,82,45,1984,379,756,.501,1,5,.200,378,751,.503,.502,198,328,.604,161,352,513,79,54,122,143,228,957
1988-89,24,SAS,NBA,PF,82,56,2401,460,914,.503,0,3,.000,460,911,.505,.503,207,403,.514,255,421,676,61,102,103,180,221,1127
1989-90,25,MIL,NBA,PF,60,28,1291,219,432,.507,0,0,0,219,432,.507,.507,91,170,.535,112,261,373,24,32,54,80,176,529
1990-91,26,TOT,NBA,PF,68,2,924,116,270,.430,0,1,.000,116,269,.431,.430,60,115,.522,97,221,318,16,35,45,84,140,292
1990-91,26,MIL,NBA,PF,26,0,247,27,73,.370,0,1,.000,27,72,.375,.370,16,28,.571,26,49,75,3,8,9,22,29,70
1990-91,26,NJN,NBA,PF,1,0,18,4,4,1.000,0,0,0,4,4,1.000,1.000,0,0,0,4,2,6,1,2,0,1,4,8
1990-91,26,DEN,NBA,PF,41,2,659,85,193,.440,0,0,0,85,193,.440,.440,44,87,.506,67,170,237,12,25,36,61,107,214
1991-92,27,DEN,NBA,PF,82,82,2793,389,854,.456,0,4,.000,389,850,.458,.456,167,268,.623,337,604,941,78,88,65,201,263,945
1992-93,28,Did Not Play(other pro leagueItaly)
1993-94,29,DET,NBA,PF,77,47,1624,201,370,.543,1,3,.333,200,367,.545,.545,88,154,.571,183,388,571,51,55,68,94,234,491
1994-95,30,ATL,NBA,PF,51,0,622,57,104,.548,0,0,0,57,104,.548,.548,34,71,.479,62,126,188,17,23,32,32,103,148
1995-96,31,SAS,NBA,PF,46,7,344,24,47,.511,0,1,.000,24,46,.522,.511,6,25,.240,29,71,100,10,9,24,22,66,54
1996-97,32,SAS,NBA,C,82,48,1659,130,262,.496,0,1,.000,130,261,.498,.496,62,93,.667,157,291,448,34,63,67,73,225,322
1997-98,33,ATL,NBA,C,50,0,398,36,81,.444,0,5,.000,36,76,.474,.444,16,41,.390,39,79,118,15,19,10,17,85,88
