Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1963-64,25,BAL,NBA,PF,78,0,2847,571,1329,.430,0,0,0,571,1329,.430,.430,210,319,.658,0,0,1064,169,0,0,0,321,1352
1964-65,26,BAL,NBA,SF,76,0,2899,577,1379,.418,0,0,0,577,1379,.418,.418,261,386,.676,0,0,988,270,0,0,0,258,1415
1965-66,27,BAL,NBA,SF,41,0,1284,273,661,.413,0,0,0,273,661,.413,.413,131,178,.736,0,0,546,114,0,0,0,136,677
1966-67,28,BAL,NBA,SF,73,0,2626,620,1377,.450,0,0,0,620,1377,.450,.450,271,383,.708,0,0,855,194,0,0,0,281,1511
1967-68,29,BAL,NBA,SF,60,0,2271,482,1033,.467,0,0,0,482,1033,.467,.467,180,270,.667,0,0,782,159,0,0,0,223,1144
1968-69,30,BAL,NBA,PF,49,0,1671,359,782,.459,0,0,0,359,782,.459,.459,160,223,.717,0,0,568,97,0,0,0,176,878
1969-70,31,BAL,NBA,PF,78,0,2919,578,1282,.451,0,0,0,578,1282,.451,.451,197,272,.724,0,0,1086,264,0,0,0,269,1353
1970-71,32,BAL,NBA,PF,66,0,2538,494,1090,.453,0,0,0,494,1090,.453,.453,214,290,.738,0,0,1128,192,0,0,0,227,1202
1971-72,33,BAL,NBA,PF,39,0,668,103,269,.383,0,0,0,103,269,.383,.383,43,63,.683,0,0,226,51,0,0,0,91,249
1972-73,34,TOT,TOT,SF-PF,71,0,1170,201,480,.419,4,21,.190,197,459,.429,.423,56,78,.718,85,296,381,93,0,0,70,168,462
1972-73,34,PHO,NBA,PF,21,0,417,69,181,.381,0,0,0,69,181,.381,.381,25,36,.694,0,0,136,31,0,0,0,55,163
1972-73,34,INA,ABA,SF,50,0,753,132,299,.441,4,21,.190,128,278,.460,.448,31,42,.738,85,160,245,62,0,0,70,113,299
