Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1958-59,23,PHW,NBA,PG,45,0,1565,211,535,.394,0,0,0,211,535,.394,.394,61,112,.545,0,0,281,261,0,0,0,132,483
1959-60,24,PHW,NBA,PG,68,0,2483,338,870,.389,0,0,0,338,870,.389,.389,111,181,.613,0,0,391,482,0,0,0,196,787
1960-61,25,PHW,NBA,PG,78,0,2905,397,1029,.386,0,0,0,397,1029,.386,.386,206,300,.687,0,0,509,677,0,0,0,262,1000
1961-62,26,PHW,NBA,PG,80,0,2650,267,749,.356,0,0,0,267,749,.356,.356,121,182,.665,0,0,348,643,0,0,0,312,655
1962-63,27,SFW,NBA,PG,79,0,3249,445,1150,.387,0,0,0,445,1150,.387,.387,208,286,.727,0,0,394,825,0,0,0,296,1098
1963-64,28,SFW,NBA,PG,79,0,2695,337,923,.365,0,0,0,337,923,.365,.365,198,280,.707,0,0,328,556,0,0,0,245,872
1964-65,29,SFW,NBA,SG,79,0,2699,465,1225,.380,0,0,0,465,1225,.380,.380,223,325,.686,0,0,323,565,0,0,0,256,1153
1965-66,30,SFW,NBA,SG,79,0,2902,586,1571,.373,0,0,0,586,1571,.373,.373,296,407,.727,0,0,421,846,0,0,0,241,1468
1966-67,31,CHI,NBA,PG,81,0,3063,538,1377,.391,0,0,0,538,1377,.391,.391,383,475,.806,0,0,346,908,0,0,0,243,1459
1967-68,32,TOT,NBA,PG,79,0,1546,148,426,.347,0,0,0,148,426,.347,.347,107,133,.805,0,0,150,380,0,0,0,167,403
1967-68,32,CHI,NBA,PG,4,0,129,16,54,.296,0,0,0,16,54,.296,.296,9,11,.818,0,0,14,28,0,0,0,11,41
1967-68,32,CIN,NBA,PG,75,0,1417,132,372,.355,0,0,0,132,372,.355,.355,98,122,.803,0,0,136,352,0,0,0,156,362
1968-69,33,MIL,NBA,PG,81,0,2157,325,862,.377,0,0,0,325,862,.377,.377,184,232,.793,0,0,226,561,0,0,0,207,834
1969-70,34,MIL,NBA,PG,64,0,749,68,191,.356,0,0,0,68,191,.356,.356,67,90,.744,0,0,74,213,0,0,0,73,203
