Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987-88,22,CHI,NBA,PF,81,6,1827,254,507,.501,0,2,.000,254,505,.503,.501,114,182,.626,155,292,447,89,51,53,86,221,622
1988-89,23,CHI,NBA,PF,79,79,2809,405,781,.519,0,5,.000,405,776,.522,.519,140,199,.704,240,441,681,168,86,62,128,251,950
1989-90,24,CHI,NBA,PF,80,80,2753,446,853,.523,0,0,0,446,853,.523,.523,179,256,.699,236,393,629,227,92,84,110,230,1071
1990-91,25,CHI,NBA,PF,78,76,2641,401,733,.547,1,6,.167,400,727,.550,.548,197,277,.711,266,393,659,178,95,69,92,203,1000
1991-92,26,CHI,NBA,PF,81,81,2859,457,790,.578,0,2,.000,457,788,.580,.578,235,317,.741,344,463,807,217,100,131,98,196,1149
1992-93,27,CHI,NBA,PF,77,77,2745,421,829,.508,1,5,.200,420,824,.510,.508,174,281,.619,341,388,729,201,89,96,110,218,1017
1993-94,28,CHI,NBA,PF,70,69,2570,460,878,.524,0,6,.000,460,872,.528,.524,137,230,.596,306,463,769,236,74,84,109,164,1057
1994-95,29,ORL,NBA,PF,74,74,2693,401,707,.567,0,8,.000,401,699,.574,.567,146,211,.692,223,492,715,173,76,88,85,203,948
1995-96,30,ORL,NBA,PF,63,62,2286,347,677,.513,1,6,.167,346,671,.516,.513,152,207,.734,178,402,580,170,62,74,64,144,847
1996-97,31,ORL,NBA,PF,67,67,2496,358,695,.515,1,6,.167,357,689,.518,.516,128,179,.715,206,394,600,163,101,65,99,157,845
1997-98,32,ORL,NBA,C,76,76,2803,393,857,.459,0,7,.000,393,850,.462,.459,135,199,.678,228,390,618,172,81,79,88,180,921
1998-99,33,ORL,NBA,PF,50,50,1660,198,456,.434,0,2,.000,198,454,.436,.434,47,70,.671,117,234,351,90,46,60,44,99,443
1999-00,34,SEA,NBA,PF,76,76,2688,266,599,.444,0,4,.000,266,595,.447,.444,80,111,.721,167,424,591,188,55,60,61,192,612
2000-01,35,LAL,NBA,PF,77,77,2390,263,569,.462,0,3,.000,263,566,.465,.462,131,169,.775,220,325,545,121,51,61,48,181,657
2001-02,36,ORL,NBA,C,76,76,2210,264,515,.513,0,0,0,264,515,.513,.513,80,111,.721,159,322,481,104,57,49,51,118,608
2002-03,37,ORL,NBA,PF,5,1,85,13,25,.520,0,0,0,13,25,.520,.520,0,0,0,2,6,8,7,3,0,1,5,26
2003-04,38,LAL,NBA,PF,55,10,1106,92,224,.411,0,1,.000,92,223,.413,.411,39,54,.722,79,154,233,71,24,21,29,70,223
