Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989-90,21,CHH,NBA,C,82,82,2757,358,814,.440,0,5,.000,358,809,.443,.440,192,289,.664,199,492,691,101,92,54,172,292,908
1990-91,22,CHH,NBA,C,80,80,2467,360,773,.466,0,2,.000,360,771,.467,.466,182,259,.703,154,348,502,89,87,47,153,286,902
1991-92,23,CHH,NBA,C,51,7,1257,213,435,.490,0,3,.000,213,432,.493,.490,134,190,.705,96,221,317,81,49,23,84,159,560
1992-93,24,TOT,NBA,PF,83,25,1887,283,595,.476,0,5,.000,283,590,.480,.476,214,280,.764,120,336,456,80,47,31,125,266,780
1992-93,24,CHH,NBA,PF,17,1,295,42,98,.429,0,1,.000,42,97,.433,.429,43,58,.741,20,50,70,24,11,5,24,49,127
1992-93,24,SAS,NBA,PF,66,24,1592,241,497,.485,0,4,.000,241,493,.489,.485,171,222,.770,100,286,386,56,36,26,101,217,653
1993-94,25,SAS,NBA,PF,70,11,1344,260,530,.491,0,3,.000,260,527,.493,.491,107,153,.699,91,129,220,73,43,25,84,165,627
1994-95,26,SAS,NBA,PF,81,37,1566,201,396,.508,1,2,.500,200,394,.508,.509,160,233,.687,120,273,393,55,60,32,113,230,563
1995-96,27,TOT,NBA,PF,65,21,1313,160,324,.494,0,1,.000,160,323,.495,.494,107,142,.754,73,182,255,42,43,17,79,187,427
1995-96,27,SAS,NBA,PF,32,5,643,72,164,.439,0,1,.000,72,163,.442,.439,64,87,.736,35,88,123,14,25,10,49,98,208
1995-96,27,NYK,NBA,PF,33,16,670,88,160,.550,0,0,0,88,160,.550,.550,43,55,.782,38,94,132,28,18,7,30,89,219
1996-97,28,Did Not Play(other pro leagueFrance)
1997-98,29,CHH,NBA,PF,79,1,1109,146,318,.459,3,8,.375,143,310,.461,.464,89,122,.730,72,138,210,51,35,19,65,172,384
1998-99,30,TOT,NBA,PF,41,26,1029,132,277,.477,0,1,.000,132,276,.478,.477,105,137,.766,45,167,212,48,37,10,51,135,369
1998-99,30,CHH,NBA,PF,16,16,556,88,169,.521,0,0,0,88,169,.521,.521,67,84,.798,21,92,113,25,22,10,28,63,243
1998-99,30,LAL,NBA,PF,25,10,473,44,108,.407,0,1,.000,44,107,.411,.407,38,53,.717,24,75,99,23,15,0,23,72,126
1999-00,31,MIL,NBA,PF,34,7,602,53,127,.417,1,7,.143,52,120,.433,.421,43,56,.768,29,88,117,18,19,5,20,81,150
2000-01,32,CLE,NBA,PF,6,0,39,2,5,.400,0,0,0,2,5,.400,.400,6,8,.750,5,3,8,1,2,1,1,4,10
