Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1960-61,22,DET,NBA,PF,64,0,1003,191,477,.400,0,0,0,191,477,.400,.400,86,132,.652,0,0,315,52,0,0,0,174,468
1961-62,23,DET,NBA,PF,74,0,1219,205,487,.421,0,0,0,205,487,.421,.421,139,186,.747,0,0,427,76,0,0,0,179,549
1962-63,24,DET,NBA,PF,78,0,1516,271,622,.436,0,0,0,271,622,.436,.436,145,214,.678,0,0,449,114,0,0,0,226,687
1963-64,25,DET,NBA,PF,78,0,1780,272,639,.426,0,0,0,272,639,.426,.426,164,210,.781,0,0,405,121,0,0,0,268,708
1964-65,26,DET,NBA,PF,54,0,732,103,296,.348,0,0,0,103,296,.348,.348,66,104,.635,0,0,183,69,0,0,0,151,272
1965-66,27,Did Not Play
1966-67,28,Did Not Play
1967-68,29,NOB,ABA,PF,76,0,2332,459,1051,.437,2,4,.500,457,1047,.436,.438,192,263,.730,0,0,619,138,0,0,124,289,1112
1968-69,30,NOB,ABA,PF,78,0,2714,468,1109,.422,2,8,.250,466,1101,.423,.423,221,313,.706,264,369,633,207,0,0,171,310,1159
1969-70,31,NOB,ABA,SF,80,0,2321,317,765,.414,2,8,.250,315,757,.416,.416,139,176,.790,150,236,386,160,0,0,152,250,775
