Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1982-83,21,LAL,NBA,SF,77,1,1970,447,772,.579,1,4,.250,446,768,.581,.580,138,221,.624,157,242,399,132,91,64,178,221,1033
1983-84,22,LAL,NBA,PF,82,53,2415,495,890,.556,0,6,.000,495,884,.560,.556,195,257,.759,157,358,515,207,77,70,181,244,1185
1984-85,23,LAL,NBA,SF,80,76,2696,610,1066,.572,0,7,.000,610,1059,.576,.572,190,245,.776,169,342,511,201,87,67,198,196,1410
1985-86,24,LAL,NBA,SF,75,73,2454,629,1086,.579,0,13,.000,629,1073,.586,.579,242,314,.771,136,251,387,201,82,77,149,195,1500
1986-87,25,LAL,NBA,SF,82,82,2819,651,1207,.539,0,13,.000,651,1194,.545,.539,292,389,.751,158,308,466,226,108,83,168,206,1594
1987-88,26,LAL,NBA,SF,75,72,2655,617,1161,.531,2,16,.125,615,1145,.537,.532,242,304,.796,129,245,374,289,72,55,155,175,1478
1988-89,27,LAL,NBA,SF,81,81,2960,702,1282,.548,2,23,.087,700,1259,.556,.548,251,321,.782,169,320,489,288,108,56,182,175,1657
1989-90,28,LAL,NBA,SF,80,80,2960,711,1298,.548,15,49,.306,696,1249,.557,.554,248,317,.782,160,318,478,288,99,49,160,190,1685
1990-91,29,LAL,NBA,SF,78,74,3008,716,1455,.492,26,90,.289,690,1365,.505,.501,212,266,.797,107,249,356,275,104,35,127,117,1670
1991-92,30,LAL,NBA,SF,54,54,2108,450,1007,.447,9,43,.209,441,964,.457,.451,166,204,.814,98,207,305,252,76,23,127,89,1075
1992-93,31,LAL,NBA,SF,82,69,2359,510,1142,.447,30,111,.270,480,1031,.466,.460,171,211,.810,73,174,247,278,92,27,137,87,1221
1993-94,32,LAL,NBA,SF,80,2,1597,340,838,.406,32,111,.288,308,727,.424,.425,100,135,.741,48,133,181,154,45,18,97,80,812
