Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1974-75,23,DNA,ABA,SF,84,0,1639,155,342,.453,0,3,.000,155,339,.457,.453,177,211,.839,121,237,358,181,48,43,122,164,487
1975-76,24,TOT,ABA,SF,80,0,1978,223,488,.457,2,6,.333,221,482,.459,.459,165,198,.833,144,292,436,182,65,96,144,164,613
1975-76,24,VIR,ABA,SF,37,0,1117,128,296,.432,1,4,.250,127,292,.435,.434,109,130,.838,81,160,241,101,36,54,80,77,366
1975-76,24,KEN,ABA,SF,43,0,861,95,192,.495,1,2,.500,94,190,.495,.497,56,68,.824,63,132,195,81,29,42,64,87,247
1976-77,25,NYN,NBA,SF,72,0,2398,271,609,.445,0,0,0,271,609,.445,.445,195,228,.855,156,304,460,117,74,68,0,205,737
1977-78,26,NJN,NBA,SF,68,0,1419,107,292,.366,0,0,0,107,292,.366,.366,87,123,.707,66,178,244,105,52,46,73,192,301
1978-79,27,NJN,NBA,SF,80,0,1998,196,423,.463,0,0,0,196,423,.463,.463,146,183,.798,108,274,382,180,85,74,135,235,538
1979-80,28,NJN,NBA,SF,82,0,2399,212,458,.463,7,20,.350,205,438,.468,.471,130,155,.839,103,326,429,247,100,76,158,307,561
1980-81,29,NJN,NBA,SF,78,0,1426,100,245,.408,2,8,.250,98,237,.414,.412,98,117,.838,48,154,202,129,38,50,108,214,300
1981-82,30,NJN,NBA,SF,41,0,452,41,82,.500,0,2,.000,41,80,.513,.500,62,76,.816,17,31,48,32,12,13,29,63,144
1982-83,31,NJN,NBA,SF,13,0,63,5,14,.357,0,0,0,5,14,.357,.357,5,6,.833,2,11,13,5,2,2,3,9,15
