Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986-87,23,PHO,NBA,SG,80,3,1561,159,350,.454,12,43,.279,147,307,.479,.471,94,121,.777,41,143,184,361,70,5,153,130,424
1987-88,24,PHO,NBA,SG,82,49,2243,306,605,.506,17,58,.293,289,547,.528,.520,152,185,.822,71,191,262,540,107,10,156,151,781
1988-89,25,PHO,NBA,SG,78,73,2487,440,889,.495,27,81,.333,413,808,.511,.510,147,178,.826,75,191,266,465,129,8,111,188,1054
1989-90,26,PHO,NBA,SG,67,60,2278,483,901,.536,40,98,.408,443,803,.552,.558,173,202,.856,86,227,313,337,117,14,125,144,1179
1990-91,27,PHO,NBA,SG,80,77,2733,544,1051,.518,61,146,.418,483,905,.534,.547,201,224,.897,74,247,321,409,111,16,130,185,1350
1991-92,28,PHO,NBA,SG,81,81,3078,635,1240,.512,83,189,.439,552,1051,.525,.546,279,315,.886,106,301,407,411,158,31,170,218,1632
1992-93,29,PHI,NBA,PG,79,78,2860,582,1239,.470,97,249,.390,485,990,.490,.509,250,289,.865,84,258,342,548,131,21,222,203,1511
1993-94,30,TOT,NBA,SG,80,62,2820,472,1004,.470,70,208,.337,402,796,.505,.505,260,296,.878,60,219,279,419,127,13,171,186,1274
1993-94,30,PHI,NBA,SG,53,53,1994,325,715,.455,52,166,.313,273,549,.497,.491,178,204,.873,41,171,212,315,95,10,138,115,880
1993-94,30,UTA,NBA,SG,27,9,826,147,289,.509,18,42,.429,129,247,.522,.540,82,92,.891,19,48,67,104,32,3,33,71,394
1994-95,31,UTA,NBA,SG,81,81,2696,482,937,.514,89,219,.406,393,718,.547,.562,284,322,.882,53,157,210,347,129,17,145,181,1337
1995-96,32,UTA,NBA,SG,82,59,2588,442,880,.502,104,223,.466,338,657,.514,.561,259,290,.893,62,147,209,340,106,20,127,171,1247
1996-97,33,UTA,NBA,SG,82,82,2592,413,856,.482,72,195,.369,341,661,.516,.525,293,326,.899,60,181,241,361,124,26,134,188,1191
1997-98,34,UTA,NBA,SG,80,80,2460,399,828,.482,56,127,.441,343,701,.489,.516,285,322,.885,65,205,270,349,109,15,132,175,1139
1998-99,35,UTA,NBA,SG,48,48,1435,214,449,.477,34,81,.420,180,368,.489,.514,125,140,.893,33,127,160,192,52,14,82,95,587
1999-00,36,UTA,NBA,SG,77,77,2133,358,728,.492,66,138,.478,292,590,.495,.537,171,180,.950,49,133,182,202,66,16,113,149,953
