Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1983-84,22,WSB,NBA,SG,81,2,1976,408,918,.444,24,74,.324,384,844,.455,.458,142,172,.826,57,98,155,151,23,13,110,162,982
1984-85,23,WSB,NBA,SG,76,61,2613,605,1213,.499,15,72,.208,590,1141,.517,.505,211,250,.844,60,146,206,184,52,9,107,176,1436
1985-86,24,WSB,NBA,SG,80,80,2992,735,1522,.483,3,17,.176,732,1505,.486,.484,322,371,.868,66,222,288,191,70,12,168,180,1795
1986-87,25,WSB,NBA,SG,80,79,2763,689,1509,.457,4,26,.154,685,1483,.462,.458,376,425,.885,50,168,218,298,75,13,182,154,1758
1987-88,26,WSB,NBA,SG,80,80,2655,648,1360,.476,10,24,.417,638,1336,.478,.480,335,380,.882,44,162,206,237,51,13,172,198,1641
1988-89,27,WSB,NBA,SG,76,75,2418,677,1410,.480,1,19,.053,676,1391,.486,.480,296,340,.871,55,124,179,219,39,14,165,155,1651
1989-90,28,WSB,NBA,SG,75,74,2567,781,1592,.491,1,6,.167,780,1586,.492,.491,257,293,.877,54,152,206,243,48,6,125,116,1820
1990-91,29,UTA,NBA,SG,69,69,2466,525,1034,.508,1,6,.167,524,1028,.510,.508,231,252,.917,36,170,206,143,50,6,108,128,1282
1991-92,30,UTA,NBA,SG,81,81,2922,691,1353,.511,1,12,.083,690,1341,.515,.511,256,285,.898,49,184,233,180,56,5,140,126,1639
1992-93,31,UTA,NBA,SG,79,59,2558,595,1205,.494,3,9,.333,592,1196,.495,.495,236,277,.852,31,142,173,128,42,4,125,117,1429
1993-94,32,TOT,NBA,SG,77,73,2560,525,1081,.486,7,12,.583,518,1069,.485,.489,205,247,.830,51,148,199,125,40,5,85,123,1262
1993-94,32,UTA,NBA,SG,50,50,1657,338,692,.488,3,6,.500,335,686,.488,.491,129,153,.843,28,87,115,66,26,5,57,77,808
1993-94,32,PHI,NBA,SG,27,23,903,187,389,.481,4,6,.667,183,383,.478,.486,76,94,.809,23,61,84,59,14,0,28,46,454
1994-95,33,PHI,NBA,SG,19,19,660,144,284,.507,11,28,.393,133,256,.520,.526,51,59,.864,11,44,55,29,15,0,29,35,350
1995-96,34,TOT,NBA,SG,32,3,510,76,193,.394,5,16,.313,71,177,.401,.407,29,32,.906,8,32,40,26,16,0,22,25,186
1995-96,34,PHI,NBA,SG,25,3,407,63,160,.394,5,16,.313,58,144,.403,.409,24,26,.923,8,24,32,19,13,0,19,19,155
1995-96,34,MIA,NBA,SG,7,0,103,13,33,.394,0,0,0,13,33,.394,.394,5,6,.833,0,8,8,7,3,0,3,6,31
