Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,21,SEA,NBA,C,26,0,331,56,76,.737,0,0,0,56,76,.737,.737,21,42,.500,27,52,79,4,11,20,10,42,133
1999-00,22,SEA,NBA,C,58,2,746,102,177,.576,0,0,0,102,177,.576,.576,45,91,.495,54,125,179,24,15,46,45,127,249
2000-01,23,SEA,NBA,C,70,44,1143,138,264,.523,0,0,0,138,264,.523,.523,41,93,.441,92,159,251,57,18,49,75,141,317
2001-02,24,LAL,NBA,C,21,0,104,12,21,.571,0,0,0,12,21,.571,.571,2,8,.250,8,17,25,7,0,5,8,14,26
2002-03,25,TOR,NBA,C,67,25,1367,194,395,.491,0,0,0,194,395,.491,.491,69,126,.548,95,260,355,43,28,60,96,162,457
2003-04,26,CLE,NBA,C,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,1,4,0
2004-05,27,ATL,NBA,C,10,0,88,7,13,.538,0,0,0,7,13,.538,.538,1,5,.200,7,14,21,0,3,8,6,24,15
2005-06,28,Did Not Play(other pro leagueItaly)
2006-07,29,Did Not Play(other pro leagueSpain)
2007-08,30,DEN,NBA,C,6,1,33,1,1,1.000,0,0,0,1,1,1.000,1.000,1,2,.500,1,6,7,0,0,5,4,7,3
