Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,23,SAC,NBA,C,16,0,42,9,24,.375,0,0,0,9,24,.375,.375,6,12,.500,6,11,17,1,2,6,9,11,24
1999-00,24,Did Not Play(injuryknee)
2000-01,25,Did Not Play(other pro leagueYugoslavia)
2001-02,26,SEA,NBA,C,56,40,949,134,273,.491,0,0,0,134,273,.491,.491,30,60,.500,89,143,232,24,25,86,74,174,298
2002-03,27,SEA,NBA,C,51,16,766,111,232,.478,0,0,0,111,232,.478,.478,54,92,.587,78,138,216,27,12,82,75,166,276
2003-04,28,SEA,NBA,C,65,24,990,129,259,.498,0,0,0,129,259,.498,.498,66,100,.660,78,152,230,32,20,60,82,180,324
2004-05,29,SEA,NBA,C,80,80,1330,174,342,.509,0,2,.000,174,340,.512,.509,47,65,.723,81,160,241,19,23,111,88,279,395
2005-06,30,NYK,NBA,C,45,9,406,56,121,.463,0,0,0,56,121,.463,.463,25,40,.625,39,52,91,12,3,23,51,104,137
2006-07,31,NYK,NBA,C,41,11,273,33,79,.418,0,0,0,33,79,.418,.418,10,18,.556,21,45,66,3,6,15,23,73,76
2007-08,32,NYK,NBA,C,2,0,5,1,1,1.000,0,0,0,1,1,1.000,1.000,2,2,1.000,0,3,3,0,0,0,0,0,4
2008-09,33,NYK,NBA,C,2,0,10,3,8,.375,0,0,0,3,8,.375,.375,0,0,0,1,2,3,0,1,1,1,2,6
