Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,22,POR,NBA,SF,77,0,958,178,372,.478,0,3,.000,178,369,.482,.478,117,181,.646,95,111,206,63,49,29,66,147,473
1985-86,23,POR,NBA,SF,79,2,1217,258,470,.549,0,6,.000,258,464,.556,.549,156,229,.681,137,156,293,83,85,32,113,208,672
1986-87,24,POR,NBA,SF,82,8,2088,373,733,.509,1,23,.043,372,710,.524,.510,262,364,.720,201,295,496,194,122,77,149,328,1009
1987-88,25,POR,NBA,SF,79,75,2888,611,1225,.499,3,15,.200,608,1210,.502,.500,291,396,.735,211,446,657,243,127,65,161,302,1516
1988-89,26,POR,NBA,SF,76,76,2716,533,1137,.469,6,21,.286,527,1116,.472,.471,258,372,.694,246,383,629,243,137,84,167,277,1330
1989-90,27,POR,NBA,SF,82,82,2843,519,1085,.478,3,20,.150,516,1065,.485,.480,269,390,.690,251,439,690,188,121,63,144,304,1310
1990-91,28,POR,NBA,SF,73,72,2359,424,887,.478,4,13,.308,420,874,.481,.480,232,327,.709,169,312,481,227,101,76,149,251,1084
1991-92,29,POR,NBA,SF,77,76,2553,398,852,.467,1,8,.125,397,844,.470,.468,174,262,.664,241,392,633,243,114,71,151,254,971
1992-93,30,POR,NBA,SF,65,50,1719,281,642,.438,8,28,.286,273,614,.445,.444,116,183,.634,126,280,406,121,80,41,84,181,686
1993-94,31,POR,NBA,SF,78,6,1276,203,469,.433,1,8,.125,202,461,.438,.434,101,135,.748,130,201,331,75,71,49,63,213,508
1994-95,32,POR,NBA,SF,63,0,1143,203,489,.415,7,27,.259,196,462,.424,.422,95,124,.766,93,163,256,82,52,35,64,173,508
1995-96,33,GSW,NBA,SF,76,58,1620,205,500,.410,3,17,.176,202,483,.418,.413,97,147,.660,154,209,363,114,91,45,75,205,510
1996-97,34,LAL,NBA,SF,70,44,1766,194,449,.432,17,65,.262,177,384,.461,.451,71,118,.602,112,251,363,89,119,49,74,219,476
1997-98,35,SEA,NBA,SF,37,2,717,97,233,.416,1,10,.100,96,223,.430,.418,39,65,.600,56,79,135,44,52,14,36,104,234
1998-99,36,SAS,NBA,SF,45,0,699,68,200,.340,3,14,.214,65,186,.349,.348,6,14,.429,42,88,130,41,37,14,30,92,145
1999-00,37,SAS,NBA,SF,72,18,1310,146,354,.412,0,9,.000,146,345,.423,.412,29,41,.707,58,167,225,69,67,47,51,161,321
2000-01,38,MIL,NBA,SF,22,2,243,32,69,.464,0,1,.000,32,68,.471,.464,8,16,.500,8,37,45,15,14,8,6,36,72
